%time,field.poisonStamp.originator,field.poisonStamp.description,field.poisonStamp.qos,field.torques0.timeStamp,field.torques0.joint_uri,field.torques0.unit,field.torques0.value,field.torques1.timeStamp,field.torques1.joint_uri,field.torques1.unit,field.torques1.value,field.torques2.timeStamp,field.torques2.joint_uri,field.torques2.unit,field.torques2.value
1578500811023225593,,,0.0,0,arm_joint_2,N m,0.776908079444,0,arm_joint_3,N m,0.572722661317,0,arm_joint_4,N m,-0.284036402852
1578500811024247470,,,0.0,0,arm_joint_2,N m,0.775279682515,0,arm_joint_3,N m,0.571465113116,0,arm_joint_4,N m,-0.284055566058
1578500811025250669,,,0.0,0,arm_joint_2,N m,0.786676662047,0,arm_joint_3,N m,0.57021719784,0,arm_joint_4,N m,-0.284108405678
1578500811026227270,,,0.0,0,arm_joint_2,N m,0.759124555553,0,arm_joint_3,N m,0.56906726291,0,arm_joint_4,N m,-0.284081072991
1578500811027219054,,,0.0,0,arm_joint_2,N m,0.770251030874,0,arm_joint_3,N m,0.557403378628,0,arm_joint_4,N m,-0.284122359241
1578500811028226993,,,0.0,0,arm_joint_2,N m,0.767912262821,0,arm_joint_3,N m,0.565745715145,0,arm_joint_4,N m,-0.289125179087
1578500811029242387,,,0.0,0,arm_joint_2,N m,0.766427641585,0,arm_joint_3,N m,0.564672680428,0,arm_joint_4,N m,-0.286536024421
1578500811030225703,,,0.0,0,arm_joint_2,N m,0.764849336585,0,arm_joint_3,N m,0.563465065203,0,arm_joint_4,N m,-0.286542354462
1578500811031230615,,,0.0,0,arm_joint_2,N m,0.776138093359,0,arm_joint_3,N m,0.572462744344,0,arm_joint_4,N m,-0.288985441122
1578500811032238119,,,0.0,0,arm_joint_2,N m,0.761570838884,0,arm_joint_3,N m,0.560968824285,0,arm_joint_4,N m,-0.286576074164
1578500811033257599,,,0.0,0,arm_joint_2,N m,0.772882434182,0,arm_joint_3,N m,0.569949581718,0,arm_joint_4,N m,-0.28662363736
1578500811034223459,,,0.0,0,arm_joint_2,N m,0.772882434182,0,arm_joint_3,N m,0.569949581718,0,arm_joint_4,N m,-0.28662363736
1578500811035234163,,,0.0,0,arm_joint_2,N m,0.743682257264,0,arm_joint_3,N m,0.567477479743,0,arm_joint_4,N m,-0.286631327559
1578500811036225484,,,0.0,0,arm_joint_2,N m,0.743682257264,0,arm_joint_3,N m,0.567477479743,0,arm_joint_4,N m,-0.286631327559
1578500811037240671,,,0.0,0,arm_joint_2,N m,0.752400368688,0,arm_joint_3,N m,0.564089712756,0,arm_joint_4,N m,-0.286906482999
1578500811038235397,,,0.0,0,arm_joint_2,N m,0.752400368688,0,arm_joint_3,N m,0.564089712756,0,arm_joint_4,N m,-0.286906482999
1578500811039239609,,,0.0,0,arm_joint_2,N m,0.751056378002,0,arm_joint_3,N m,0.563116659189,0,arm_joint_4,N m,-0.286678848215
1578500811040220707,,,0.0,0,arm_joint_2,N m,0.749329498633,0,arm_joint_3,N m,0.561761207866,0,arm_joint_4,N m,-0.286723769044
