%time,field.poisonStamp.originator,field.poisonStamp.description,field.poisonStamp.qos,field.velocities0.timeStamp,field.velocities0.joint_uri,field.velocities0.unit,field.velocities0.value
1576487402613331722,,,0.0,1576487402000000000,arm_joint_5,s^-1 rad,0.0
1576487402670000920,,,0.0,1576487402000000000,arm_joint_5,s^-1 rad,0.0
1576487402726859582,,,0.0,1576487402000000000,arm_joint_5,s^-1 rad,0.0
1576487402781420741,,,0.0,1576487402000000000,arm_joint_5,s^-1 rad,0.0
1576487402841784849,,,0.0,1576487402000000000,arm_joint_5,s^-1 rad,0.0
1576487402899554630,,,0.0,1576487402000000000,arm_joint_5,s^-1 rad,0.0
1576487402959119315,,,0.0,1576487402000000000,arm_joint_5,s^-1 rad,0.0
1576487403015867713,,,0.0,1576487403000000000,arm_joint_5,s^-1 rad,0.0
1576487403073783842,,,0.0,1576487403000000000,arm_joint_5,s^-1 rad,0.0
1576487403130942088,,,0.0,1576487403000000000,arm_joint_5,s^-1 rad,0.0
1576487403189389968,,,0.0,1576487403000000000,arm_joint_5,s^-1 rad,0.0
1576487403245426677,,,0.0,1576487403000000000,arm_joint_5,s^-1 rad,0.0
1576487403302668263,,,0.0,1576487403000000000,arm_joint_5,s^-1 rad,0.0
1576487403360419055,,,0.0,1576487403000000000,arm_joint_5,s^-1 rad,0.0
1576487403416594651,,,0.0,1576487403000000000,arm_joint_5,s^-1 rad,0.0
1576487403472867035,,,0.0,1576487403000000000,arm_joint_5,s^-1 rad,0.0
1576487403528065893,,,0.0,1576487403000000000,arm_joint_5,s^-1 rad,0.0
1576487403587091572,,,0.0,1576487403000000000,arm_joint_5,s^-1 rad,0.0
1576487403645987698,,,0.0,1576487403000000000,arm_joint_5,s^-1 rad,0.0
1576487403706032216,,,0.0,1576487403000000000,arm_joint_5,s^-1 rad,0.0
1576487403818898031,,,0.0,1576487403000000000,arm_joint_5,s^-1 rad,0.0
1576487403822483576,,,0.0,1576487403000000000,arm_joint_5,s^-1 rad,0.0
1576487403878392104,,,0.0,1576487403000000000,arm_joint_5,s^-1 rad,0.0
1576487403943760787,,,0.0,1576487403000000000,arm_joint_5,s^-1 rad,0.5
1576487404015146323,,,0.0,1576487404000000000,arm_joint_5,s^-1 rad,0.5
1576487404072748747,,,0.0,1576487404000000000,arm_joint_5,s^-1 rad,0.5
1576487404132649136,,,0.0,1576487404000000000,arm_joint_5,s^-1 rad,0.5
1576487404186848683,,,0.0,1576487404000000000,arm_joint_5,s^-1 rad,0.5
1576487404242929431,,,0.0,1576487404000000000,arm_joint_5,s^-1 rad,0.5
1576487404300703688,,,0.0,1576487404000000000,arm_joint_5,s^-1 rad,0.5
1576487404360229689,,,0.0,1576487404000000000,arm_joint_5,s^-1 rad,0.5
1576487404420384498,,,0.0,1576487404000000000,arm_joint_5,s^-1 rad,0.5
1576487404479859556,,,0.0,1576487404000000000,arm_joint_5,s^-1 rad,0.5
1576487404538290534,,,0.0,1576487404000000000,arm_joint_5,s^-1 rad,0.5
1576487404596588978,,,0.0,1576487404000000000,arm_joint_5,s^-1 rad,0.5
1576487404659691548,,,0.0,1576487404000000000,arm_joint_5,s^-1 rad,0.5
1576487404723812810,,,0.0,1576487404000000000,arm_joint_5,s^-1 rad,0.5
1576487404798132611,,,0.0,1576487404000000000,arm_joint_5,s^-1 rad,0.5
1576487404858157453,,,0.0,1576487404000000000,arm_joint_5,s^-1 rad,0.5
1576487404917884297,,,0.0,1576487404000000000,arm_joint_5,s^-1 rad,0.5
1576487404975804765,,,0.0,1576487404000000000,arm_joint_5,s^-1 rad,0.5
1576487405033177367,,,0.0,1576487405000000000,arm_joint_5,s^-1 rad,0.5
1576487405092197676,,,0.0,1576487405000000000,arm_joint_5,s^-1 rad,0.5
1576487405151443036,,,0.0,1576487405000000000,arm_joint_5,s^-1 rad,0.5
1576487405209571168,,,0.0,1576487405000000000,arm_joint_5,s^-1 rad,0.5
1576487405269462834,,,0.0,1576487405000000000,arm_joint_5,s^-1 rad,0.5
1576487405330574064,,,0.0,1576487405000000000,arm_joint_5,s^-1 rad,0.5
1576487405390458581,,,0.0,1576487405000000000,arm_joint_5,s^-1 rad,0.5
1576487405447060711,,,0.0,1576487405000000000,arm_joint_5,s^-1 rad,0.5
1576487405506613503,,,0.0,1576487405000000000,arm_joint_5,s^-1 rad,0.5
1576487405565882801,,,0.0,1576487405000000000,arm_joint_5,s^-1 rad,0.5
1576487405625217191,,,0.0,1576487405000000000,arm_joint_5,s^-1 rad,0.5
1576487405683198384,,,0.0,1576487405000000000,arm_joint_5,s^-1 rad,0.5
1576487405742069464,,,0.0,1576487405000000000,arm_joint_5,s^-1 rad,0.5
1576487405799333251,,,0.0,1576487405000000000,arm_joint_5,s^-1 rad,0.5
1576487405860092615,,,0.0,1576487405000000000,arm_joint_5,s^-1 rad,0.5
1576487405926141813,,,0.0,1576487405000000000,arm_joint_5,s^-1 rad,0.5
1576487405984980750,,,0.0,1576487405000000000,arm_joint_5,s^-1 rad,0.5
1576487406044081926,,,0.0,1576487406000000000,arm_joint_5,s^-1 rad,0.5
1576487406104078774,,,0.0,1576487406000000000,arm_joint_5,s^-1 rad,0.5
1576487406164238260,,,0.0,1576487406000000000,arm_joint_5,s^-1 rad,0.5
1576487406222423501,,,0.0,1576487406000000000,arm_joint_5,s^-1 rad,0.5
1576487406285112165,,,0.0,1576487406000000000,arm_joint_5,s^-1 rad,0.5
