%time,field.poisonStamp.originator,field.poisonStamp.description,field.poisonStamp.qos,field.velocities0.timeStamp,field.velocities0.joint_uri,field.velocities0.unit,field.velocities0.value,field.velocities1.timeStamp,field.velocities1.joint_uri,field.velocities1.unit,field.velocities1.value,field.velocities2.timeStamp,field.velocities2.joint_uri,field.velocities2.unit,field.velocities2.value
1576160804778496703,,,0.0,0,arm_joint_2,s^-1 rad,0.00210107513703,0,arm_joint_3,s^-1 rad,-0.00736366491765,0,arm_joint_4,s^-1 rad,-0.00135288131423
1576160804785173136,,,0.0,0,arm_joint_2,s^-1 rad,0.00209045689553,0,arm_joint_3,s^-1 rad,-0.00732627045363,0,arm_joint_4,s^-1 rad,-0.00134601735044
1576160804791831216,,,0.0,0,arm_joint_2,s^-1 rad,0.00201062834822,0,arm_joint_3,s^-1 rad,-0.00704650161788,0,arm_joint_4,s^-1 rad,-0.00129461684264
1576160804798670030,,,0.0,0,arm_joint_2,s^-1 rad,0.00210117851384,0,arm_joint_3,s^-1 rad,-0.00736366631463,0,arm_joint_4,s^-1 rad,-0.0013528940035
1576160804805221690,,,0.0,0,arm_joint_2,s^-1 rad,0.00105331721716,0,arm_joint_3,s^-1 rad,-0.00369153381325,0,arm_joint_4,s^-1 rad,-0.000678227224853
1576160804811839015,,,0.0,0,arm_joint_2,s^-1 rad,0.00201044767164,0,arm_joint_3,s^-1 rad,-0.00704579241574,0,arm_joint_4,s^-1 rad,-0.00129449449014
1576160804818566580,,,0.0,0,arm_joint_2,s^-1 rad,0.00206492980942,0,arm_joint_3,s^-1 rad,-0.00723672937602,0,arm_joint_4,s^-1 rad,-0.00132957461756
1576160804825203736,,,0.0,0,arm_joint_2,s^-1 rad,0.0010534246685,0,arm_joint_3,s^-1 rad,-0.00369182019494,0,arm_joint_4,s^-1 rad,-0.000678282929584
1576160804831829152,,,0.0,0,arm_joint_2,s^-1 rad,0.00201035221107,0,arm_joint_3,s^-1 rad,-0.00704529043287,0,arm_joint_4,s^-1 rad,-0.00129440799356
1576160804838496490,,,0.0,0,arm_joint_2,s^-1 rad,0.00209828256629,0,arm_joint_3,s^-1 rad,-0.00735326390713,0,arm_joint_4,s^-1 rad,-0.00135099701583
1576160804845149866,,,0.0,0,arm_joint_2,s^-1 rad,0.00105361861642,0,arm_joint_3,s^-1 rad,-0.00369232217781,0,arm_joint_4,s^-1 rad,-0.000678381242324
1576160804851826217,,,0.0,0,arm_joint_2,s^-1 rad,0.00201017106883,0,arm_joint_3,s^-1 rad,-0.00704458123073,0,arm_joint_4,s^-1 rad,-0.00129428564105
1576160804858495930,,,0.0,0,arm_joint_2,s^-1 rad,0.00209825881757,0,arm_joint_3,s^-1 rad,-0.00735328206792,0,arm_joint_4,s^-1 rad,-0.00135100248735
1576160804865280858,,,0.0,0,arm_joint_2,s^-1 rad,0.00105373025872,0,arm_joint_3,s^-1 rad,-0.00369267468341,0,arm_joint_4,s^-1 rad,-0.000678450160194
1576160804871845391,,,0.0,0,arm_joint_2,s^-1 rad,0.00202511949465,0,arm_joint_3,s^-1 rad,-0.00709661981091,0,arm_joint_4,s^-1 rad,-0.00130385835655
1576160804878504241,,,0.0,0,arm_joint_2,s^-1 rad,0.0020619740244,0,arm_joint_3,s^-1 rad,-0.00722604431212,0,arm_joint_4,s^-1 rad,-0.0013276336249
1576160804885303178,,,0.0,0,arm_joint_2,s^-1 rad,0.00106876622885,0,arm_joint_3,s^-1 rad,-0.00374532537535,0,arm_joint_4,s^-1 rad,-0.000688127824105
1576160804891804298,,,0.0,0,arm_joint_2,s^-1 rad,0.00201301090419,0,arm_joint_3,s^-1 rad,-0.00705428468063,0,arm_joint_4,s^-1 rad,-0.00129608227871
1576160804898487642,,,0.0,0,arm_joint_2,s^-1 rad,0.00206198706292,0,arm_joint_3,s^-1 rad,-0.0072260145098,0,arm_joint_4,s^-1 rad,-0.00132763653528
1576160804905143972,,,0.0,0,arm_joint_2,s^-1 rad,0.00105385389179,0,arm_joint_3,s^-1 rad,-0.00369311892428,0,arm_joint_4,s^-1 rad,-0.000678537180647
1576160804911810531,,,0.0,0,arm_joint_2,s^-1 rad,0.00200971914455,0,arm_joint_3,s^-1 rad,-0.00704267481342,0,arm_joint_4,s^-1 rad,-0.00129395746626
1576160804918475214,,,0.0,0,arm_joint_2,s^-1 rad,0.0010539656505,0,arm_joint_3,s^-1 rad,-0.00369347026572,0,arm_joint_4,s^-1 rad,-0.000678605923895
1576160804925174643,,,0.0,0,arm_joint_2,s^-1 rad,0.0010539656505,0,arm_joint_3,s^-1 rad,-0.00369347026572,0,arm_joint_4,s^-1 rad,-0.000678605923895
1576160804933820393,,,0.0,0,arm_joint_2,s^-1 rad,0.00201264768839,0,arm_joint_3,s^-1 rad,-0.00705286068842,0,arm_joint_4,s^-1 rad,-0.00129583687522
1576160804938510991,,,0.0,0,arm_joint_2,s^-1 rad,0.00107189931441,0,arm_joint_3,s^-1 rad,-0.00375627516769,0,arm_joint_4,s^-1 rad,-0.000690149492584
1576160804945175480,,,0.0,0,arm_joint_2,s^-1 rad,0.00209131767042,0,arm_joint_3,s^-1 rad,-0.00732864066958,0,arm_joint_4,s^-1 rad,-0.00134650873952
1576160804951834756,,,0.0,0,arm_joint_2,s^-1 rad,0.00200936640613,0,arm_joint_3,s^-1 rad,-0.00704155256972,0,arm_joint_4,s^-1 rad,-0.00129376363475
1576160804958508789,,,0.0,0,arm_joint_2,s^-1 rad,0.00206500804052,0,arm_joint_3,s^-1 rad,-0.0072365407832,0,arm_joint_4,s^-1 rad,-0.00132958928589
1576160804965169361,,,0.0,0,arm_joint_2,s^-1 rad,0.00106906867586,0,arm_joint_3,s^-1 rad,-0.00374631467275,0,arm_joint_4,s^-1 rad,-0.000688323751092
