x_nom,f_nom,x_ki,f_ki,x_kp,f_kp
0.310128146839988,-0.406721399266193,0.320831609531928,3.20996140328492,0.33618139895096,2.96326380895927
0.309855011181813,-0.455721435236093,0.32052836856122,3.1669892120511,0.336449239802833,2.99596398032523
0.3098394419914,-0.419093383196653,0.320441425165572,3.166599213549,0.336702199674899,2.94270641582546
0.309583392119491,-0.273732322368876,0.31984525849787,3.12274051166874,0.337117542792797,2.95243743891409
0.309334849045952,-0.174112717577018,0.319790358376331,3.19864864347043,0.33738905608646,2.93951587850091
0.309085509995526,-0.098214272176768,0.319434559563151,3.26284521987644,0.33738905608646,2.95661982384707
0.308848109887233,-0.0554888879345579,0.318943485604179,3.23135687357771,0.337973727485644,2.93491908986101
0.308595269348076,-0.0750903474336786,0.318610841406853,3.24589586659476,0.337973727485644,2.93937938606039
0.308351240086849,0.0193136609087208,0.318285482040962,3.28136158916179,0.338244586368692,2.91587022993122
0.308104635653059,0.0348966029081206,0.317979128382533,3.27578738778433,0.338518154678131,2.90869454134177
0.307775221751536,0.138466866502637,0.31764937221428,3.27364317125166,0.33882459185826,2.89266776225166
0.307497573853891,0.172791770823499,0.317334727685419,3.26572762307402,0.339114027200364,2.83997682540587
0.307267696954143,0.217136570202512,0.317004240958387,3.26421154669554,0.339376200164811,2.81667191735488
0.307019126811097,0.193916932848804,0.316705829454529,3.20081138553098,0.339642897907799,2.75482675707715
0.306785521145766,0.33886077782391,0.316406801430555,3.20989610466131,0.340063676185389,2.71931983656908
0.306562905185695,0.357179099698358,0.316088439439781,3.20707305175906,0.340372663008502,2.68549926151717
0.306337774389433,0.417589035707684,0.315669825015787,3.20997688208433,0.340656270723727,2.67362678789576
0.30610361626822,0.400684864386312,0.315379035694249,3.27912522890355,0.340968605176758,2.57063644343995
0.305857149500115,0.429903511379958,0.315115095953053,3.21569609715216,0.341246853670527,2.49193653628903
0.305629334754113,0.467635976129825,0.31507214873915,3.27848695261289,0.341550198979067,2.46307948019759
0.305613440855194,0.479446517118626,0.314772298832511,3.20850927176099,0.341818394506098,2.4970017689325
0.305096550759643,0.492298269840535,0.314473746409883,3.16578470186623,0.342102408506187,2.44895723541356
0.305057721617801,0.586322504249111,0.314187746683718,3.04411333265459,0.34253185243986,2.36555155176204
0.304834036474538,0.535950832691781,0.3139156333663,2.98621660229716,0.342555480489522,2.28543661587444
0.304611179656559,0.663508194463688,0.313654563984035,2.98301585830614,0.342844988459098,2.25901215117063
0.304395337073316,0.70353871301172,0.313366141782991,2.90956582836007,0.343139927690906,2.16596751169953
0.304176881200423,0.703672313114624,0.31299571727179,2.96557556117498,0.343450593481512,2.14596595244584
0.303959248920814,0.757686089205138,0.312730948822114,2.97255188589607,0.343761432419081,2.13600919205441
0.303742103191504,0.766281867220293,0.312489080260362,2.90136064134388,0.344053881208868,2.14708406939525
0.303530609880884,0.825410817107596,0.312238960564433,2.82188128200247,0.344364264391464,2.05712607448113
0.303228044803565,0.806358238646062,0.31198828720859,2.83775575585334,0.344654141670179,2.04581124157845
0.303017343932377,0.854317610634162,0.311722574656625,2.73732409737098,0.344976206525798,1.97695032387261
0.302798716551157,0.864201253612349,0.311498061961218,2.74570032451353,0.345243411391238,1.75279341662563
0.302571274070936,0.894226897199419,0.311249285765591,2.73311887720402,0.345694909179325,1.73213990018658
0.302378531661444,0.934085390272348,0.310944804312274,2.7310466209428,0.34599836899554,1.64205487602087
0.302368258279134,0.965867120366385,0.310750006947795,2.67159505783541,0.346323947790216,1.60335256068847
0.301983980548019,1.019675357064,0.310750006947795,2.63486789613541,0.346607081408026,1.64015927502485
0.301964967456034,1.08777937984005,0.310675079074198,2.6551780722734,0.346919980894729,1.61366745016822
0.301773821102953,1.09587275832559,0.310273518486467,2.58969216279901,0.346921517967069,1.59217503490203
0.301496096577251,1.13877039050419,0.310067357067698,2.55606056763473,0.347505723599249,1.56644545348091
0.301303745206609,1.10275773736169,0.309866868935016,2.51569276764012,0.347518967845929,1.52581335651443
0.301097404235224,1.10658775034181,0.309642822737664,2.50181630743117,0.34782649493146,1.54260649872993
0.300908249721915,1.10975473680285,0.30943788143134,2.42321708716756,0.348255416579071,1.50466230024399
