K,delta_M
0.949,0.725024620603177
0.95,0.724638930699263
0.951,0.724253554115525
0.952,0.723868491062544
0.953,0.723483741750006
0.954,0.723099306386709
0.955,0.722715185180577
0.956,0.722331378338653
0.957,0.721947886067114
0.958,0.721564708571259
0.959,0.721181846055535
0.96,0.720799298723524
0.961,0.720417066777947
0.962,0.720035150420676
0.963,0.719653549852737
0.964,0.719272265274306
0.965,0.718891296884725
0.966,0.718510644882492
0.967,0.718130309465272
0.968,0.717750290829904
0.969,0.717370589172397
0.97,0.716991204687938
0.971,0.71661213757089
0.972,0.716233388014817
0.973,0.71585495621245
0.974,0.715476842355725
0.975,0.715099046635768
0.976,0.714721569242901
0.977,0.714344410366653
0.978,0.713967570195759
0.979,0.713591048918151
0.98,0.713214846720989
0.981,0.712838963790637
0.982,0.712463400312682
0.983,0.71208815647193
0.984,0.711713232452413
0.985,0.711338628437395
0.986,0.710964344609365
0.987,0.710590381150046
0.988,0.710216738240413
0.989,0.709843416060662
0.99,0.709470414790243
0.991,0.709097734607852
0.992,0.708725375691439
0.993,0.7083533382182
0.994,0.707981622364592
0.995,0.707610228306325
0.996,0.707239156218375
0.997,0.706868406274985
0.998,0.706497978649668
0.999,0.706127873515195
1,0.705758091043623
1.001,0.705388631406283
1.002,0.705019494773779
1.003,0.704650681316007
1.004,0.704282191202139
1.005,0.703914024600638
1.006,0.703546181679258
1.007,0.703178662605044
1.008,0.70281146754434
1.009,0.702444596662782
1.01,0.702078050125318
1.011,0.701711828096186
1.012,0.70134593073894
1.013,0.700980358216439
1.014,0.700615110690857
1.015,0.700250188323677
1.016,0.6998855912757
1.017,0.699521319707048
1.018,0.699157373777163
1.019,0.69879375364481
1.02,0.698430459468079
1.021,0.698067491404396
1.022,0.697704849610514
1.023,0.697342534242509
1.024,0.696980545455816
1.025,0.696618883405188
1.026,0.696257548244731
1.027,0.695896540127885
1.028,0.695535859207436
1.029,0.695175505635529
1.03,0.694815479563645
1.031,0.694455781142622
1.032,0.694096410522663
1.033,0.693737367853303
1.034,0.693378653283461
1.035,0.693020266961404
1.036,0.692662209034758
1.037,0.692304479650528
1.038,0.691947078955078
1.039,0.691590007094137
1.04,0.691233264212818
1.041,0.690876850455594
1.042,0.690520765966325
1.043,0.690165010888238
1.044,0.689809585363946
1.045,0.689454489535449
1.046,0.689099723544121
1.047,0.688745287530727
1.048,0.688391181635411
1.049,0.688037405997723
1.05,0.687683960756591
1.051,0.687330846050343
1.052,0.686978062016694
1.053,0.686625608792769
1.054,0.686273486515079
1.055,0.685921695319547
1.056,0.685570235341494
1.057,0.685219106715643
1.058,0.684868309576129
1.059,0.684517844056483
1.06,0.68416771028967
1.061,0.683817908408037
1.062,0.683468438543371
1.063,0.683119300826854
1.064,0.6827704953891
1.065,0.68242202236013
1.066,0.682073881869394
1.067,0.681726074045756
1.068,0.681378599017515
1.069,0.681031456912383
1.07,0.680684647857505
1.071,0.680338171979457
1.072,0.679992029404241
1.073,0.679646220257289
1.074,0.679300744663475
1.075,0.678955602747096
1.076,0.678610794631897
1.077,0.678266320441054
1.078,0.677922180297183
1.079,0.677578374322348
1.08,0.677234902638045
1.081,0.676891765365222
1.082,0.676548962624267
1.083,0.676206494535023
1.084,0.675864361216774
1.085,0.675522562788254
1.086,0.675181099367654
1.087,0.674839971072613
1.088,0.674499178020232
1.089,0.674158720327053
1.09,0.673818598109086
1.091,0.6734788114818
1.092,0.673139360560119
1.093,0.672800245458428
1.094,0.672461466290581
1.095,0.672123023169884
1.096,0.671784916209118
1.097,0.671447145520533
1.098,0.671109711215832
1.099,0.6707726134062
1.1,0.670435852202287
1.101,0.670099427714214
1.102,0.669763340051584
1.103,0.669427589323453
1.104,0.669092175638378
1.105,0.66875709910437
1.106,0.668422359828932
1.107,0.668087957919038
1.108,0.66775389348115
1.109,0.667420166621201
1.11,0.66708677744461
1.111,0.666753726056286
1.112,0.666421012560613
1.113,0.666088637061469
1.114,0.665756599662208
1.115,0.665424900465681
1.116,0.665093539574229
1.117,0.664762517089678
1.118,0.664431833113344
1.119,0.664101487746042
1.12,0.663771481088071
1.121,0.663441813239237
1.122,0.663112484298828
1.123,0.662783494365633
1.124,0.662454843537948
1.125,0.662126531913553
1.126,0.661798559589736
1.127,0.66147092666328
1.128,0.661143633230475
1.129,0.660816679387115
1.13,0.660490065228485
1.131,0.660163790849388
1.132,0.659837856344129
1.133,0.659512261806513
1.134,0.659187007329858
1.135,0.658862093006987
1.136,0.658537518930235
1.137,0.658213285191442
1.138,0.657889391881965
1.139,0.657565839092672
1.14,0.657242626913931
1.141,0.656919755435647
1.142,0.656597224747214
1.143,0.656275034937556
1.144,0.655953186095114
1.145,0.655631678307836
1.146,0.655310511663197
1.147,0.654989686248184
1.148,0.654669202149305
1.149,0.654349059452592
1.15,0.654029258243588
1.151,0.653709798607367
1.152,0.653390680628527
1.153,0.653071904391177
1.154,0.652753469978961
1.155,0.652435377475045
1.156,0.652117626962114
1.157,0.651800218522391
1.158,0.651483152237614
1.159,0.651166428189056
1.16,0.650850046457515
1.161,0.650534007123324
1.162,0.650218310266335
1.163,0.649902955965935
1.164,0.649587944301046
