t;f1;frec1;fval1;fvalrec1;f2;frec2;fval2;fvalrec2;f3;frec3;fval3;fvalrec3;f4;frec4;fval4;fvalrec4;f5;frec5;fval5;fvalrec5;f6;frec6;fval6;fvalrec6;f7;frec7;fval7;fvalrec7;f8;frec8;fval8;fvalrec8;f9;frec9;fval9;fvalrec9;f10;frec10;fval10;fvalrec10;f11;frec11;fval11;fvalrec11
1;-0.0017041;-0.17431;6.3808e-05;0.20548;-0.0017974;0.13948;-0.00031594;0.26322;-0.0042957;-0.031371;0.0016473;0.064087;-0.0029558;0.34147;-0.0007157;-0.018917;-0.00062429;0.65151;-0.0020186;-0.049418;-0.0013006;0.19633;-0.00099673;-0.18624;1.9666e-05;0.66922;-0.00064027;-0.040986;-0.0026635;-0.012799;1.7856e-05;-0.62095;-0.001675;-0.37178;0.0010143;0.057243;-0.0026851;-0.054727;0.0016499;-0.38139;-0.0027397;0.1789;-0.00022256;-0.36995
2;-0.0049303;-0.16273;0.00024511;0.19919;-0.0050606;0.14516;-0.0009766;0.26462;-0.013405;-0.024413;0.0052434;0.06873;-0.0086116;0.36636;-0.0023358;-0.01368;-0.0010674;0.67707;-0.006481;-0.041287;-0.0048182;0.1862;-0.0032574;-0.18576;0.00075407;0.69858;-0.0021218;-0.039284;-0.0091972;-0.039137;2.4154e-05;-0.61738;-0.0058987;-0.38516;0.0033883;0.06134;-0.0093708;-0.064597;0.0052851;-0.38705;-0.0093361;0.16062;-0.00070486;-0.36603
3;-0.0088787;-0.14778;0.00059951;0.19185;-0.0087533;0.15563;-0.0018834;0.26287;-0.026396;-0.016568;0.010577;0.073697;-0.015609;0.39316;-0.0048129;-0.010218;-9.5783e-05;0.70959;-0.013222;-0.034267;-0.011117;0.17482;-0.0067796;-0.18485;0.003085;0.72712;-0.0044561;-0.040805;-0.020067;-0.050824;-5.1966e-05;-0.61249;-0.013071;-0.37897;0.0072024;0.067169;-0.020663;-0.07968;0.010722;-0.38319;-0.020104;0.142;-0.0014263;-0.361
4;-0.01276;-0.12833;0.0011868;0.18527;-0.011833;0.17136;-0.0029221;0.25962;-0.042261;-0.0095988;0.01741;0.078843;-0.02255;0.4249;-0.008052;-0.0074198;0.0035022;0.746;-0.022044;-0.029103;-0.020569;0.16173;-0.011564;-0.18362;0.0078963;0.75931;-0.0076286;-0.043932;-0.035543;-0.067018;-0.00031525;-0.60569;-0.023434;-0.37301;0.012509;0.074982;-0.036987;-0.098566;0.01772;-0.37241;-0.035155;0.12169;-0.0023814;-0.35607
5;-0.015785;-0.1038;0.0020574;0.1796;-0.013259;0.19283;-0.003984;0.25499;-0.060054;-0.0041679;0.02549;0.083957;-0.028009;0.46185;-0.011944;-0.0054558;0.010906;0.78599;-0.032724;-0.026583;-0.033374;0.14666;-0.017609;-0.18209;0.016061;0.79529;-0.011616;-0.048593;-0.055709;-0.086194;-0.00089381;-0.59642;-0.037081;-0.36823;0.019327;0.084853;-0.058604;-0.12126;0.025993;-0.35536;-0.054431;0.099589;-0.0035873;-0.35141
6;-0.017149;-0.073647;0.0032469;0.17495;-0.011993;0.22052;-0.0049738;0.24927;-0.079013;-0.00092332;0.034564;0.088737;-0.03055;0.50426;-0.016401;-0.0044676;0.023269;0.82927;-0.045025;-0.027124;-0.049578;0.12936;-0.024891;-0.18028;0.028428;0.83522;-0.0164;-0.054614;-0.08048;-0.10715;-0.0019253;-0.58427;-0.053972;-0.36535;0.027643;0.096723;-0.085645;-0.14782;0.035209;-0.33289;-0.077727;0.075718;-0.0050852;-0.34725
7;-0.016013;-0.037463;0.00478;0.1714;-0.0070022;0.25486;-0.0058048;0.24285;-0.098578;-0.00044898;0.04438;0.092829;-0.028758;0.55231;-0.02136;-0.0045287;0.041721;0.87548;-0.058707;-0.030807;-0.069096;0.10961;-0.033352;-0.17826;0.045812;0.87926;-0.021982;-0.061736;-0.10963;-0.12947;-0.003543;-0.56903;-0.073944;-0.36494;0.037421;0.11039;-0.11813;-0.17831;0.044996;-0.30605;-0.10474;0.050069;-0.0069386;-0.34379
8;-0.011506;0.0050766;0.0066748;0.16901;0.0027604;0.29629;-0.0063953;0.23609;-0.11835;-0.0032405;0.054682;0.095887;-0.021242;0.60616;-0.026788;-0.0056362;0.067362;0.92432;-0.073533;-0.037513;-0.091733;0.087175;-0.042893;-0.17607;0.068986;0.92755;-0.028378;-0.069597;-0.14282;-0.15353;-0.0058689;-0.55069;-0.096751;-0.36745;0.048598;0.12548;-0.15598;-0.21285;0.054957;-0.27615;-0.1351;0.022475;-0.0092321;-0.34127
9;-0.0027424;0.054197;0.008937;0.16777;0.018363;0.34517;-0.0066744;0.22926;-0.13805;-0.0096675;0.065219;0.097643;-0.0066301;0.66596;-0.032663;-0.0077412;0.10126;0.97567;-0.089278;-0.046984;-0.1172;0.061755;-0.053385;-0.17378;0.098678;0.98022;-0.035613;-0.077726;-0.17972;-0.18012;-0.0090231;-0.52946;-0.12209;-0.37334;0.061078;0.14146;-0.19902;-0.25156;0.064699;-0.2447;-0.16845;-0.0074663;-0.012063;-0.33993
10;0.011173;0.11;0.011549;0.16766;0.040895;0.40181;-0.006584;0.22258;-0.15746;-0.019855;0.075768;0.097928;0.016452;0.732;-0.038964;-0.010785;0.14443;1.0298;-0.10573;-0.05883;-0.14517;0.033032;-0.064686;-0.17146;0.13558;1.0373;-0.0437;-0.085605;-0.21996;-0.20998;-0.013133;-0.50578;-0.14963;-0.38311;0.074737;0.15757;-0.24702;-0.29457;0.073856;-0.21333;-0.20441;-0.040264;-0.015532;-0.33995
11;0.031153;0.17244;0.01446;0.16866;0.071462;0.46642;-0.0060776;0.21623;-0.17638;-0.03348;0.086146;0.096673;0.049397;0.80474;-0.045663;-0.014714;0.19784;1.0873;-0.12269;-0.072518;-0.17526;0.00071847;-0.076654;-0.16918;0.18035;1.0988;-0.052628;-0.092817;-0.26324;-0.2437;-0.018326;-0.4804;-0.17907;-0.39743;0.089433;0.17291;-0.29972;-0.34198;0.082088;-0.1834;-0.24268;-0.076365;-0.019734;-0.34143
12;0.058119;0.24135;0.017595;0.17071;0.11117;0.53914;-0.0051222;0.21041;-0.19465;-0.04965;0.096218;0.09389;0.093631;0.88467;-0.052719;-0.019487;0.2624;1.149;-0.14;-0.08743;-0.20718;-0.035405;-0.089144;-0.16703;0.23363;1.1646;-0.062362;-0.099162;-0.30924;-0.28174;-0.024712;-0.45427;-0.21013;-0.4172;0.10502;0.18652;-0.35688;-0.39392;0.089086;-0.15576;-0.28296;-0.11607;-0.024749;-0.34431
13;0.093007;0.31661;0.02087;0.17381;0.16113;0.62002;-0.003704;0.20547;-0.21216;-0.067018;0.10589;0.089663;0.15061;0.97227;-0.060093;-0.025067;0.33896;1.2155;-0.1575;-0.10299;-0.24067;-0.075475;-0.10201;-0.16506;0.29604;1.2342;-0.072868;-0.10462;-0.35773;-0.32447;-0.032369;-0.42846;-0.24256;-0.44358;0.12138;0.19775;-0.41829;-0.45049;0.09459;-0.13081;-0.32502;-0.15954;-0.030657;-0.34845
14;0.13675;0.39826;0.024209;0.17793;0.22246;0.70907;-0.0018301;0.2019;-0.22887;-0.084034;0.1151;0.084134;0.22179;1.0679;-0.067753;-0.031405;0.42829;1.2872;-0.17506;-0.11879;-0.2756;-0.11954;-0.11508;-0.16336;0.3682;1.3072;-0.084115;-0.10921;-0.40849;-0.37224;-0.041333;-0.40395;-0.27619;-0.47816;0.13836;0.20656;-0.48375;-0.51182;0.098405;-0.10874;-0.36871;-0.20678;-0.037552;-0.35364
15;0.19027;0.48655;0.027554;0.18303;0.29625;0.8063;0.00047873;0.2003;-0.24474;-0.099125;0.12379;0.077497;0.30862;1.1717;-0.075678;-0.038426;0.53106;1.3643;-0.19252;-0.13462;-0.31195;-0.16762;-0.12818;-0.162;0.45072;1.3835;-0.096073;-0.11295;-0.46136;-0.42545;-0.051614;-0.38142;-0.3109;-0.52292;0.15583;0.21326;-0.55315;-0.57805;0.1004;-0.089672;-0.41391;-0.25772;-0.045537;-0.35965
16;0.25447;0.58184;0.030864;0.18904;0.38362;0.91161;0.0031968;0.20122;-0.25971;-0.11076;0.13197;0.069982;0.41248;1.2836;-0.083842;-0.046012;0.64786;1.4468;-0.20973;-0.15039;-0.34976;-0.21974;-0.14116;-0.16104;0.5442;1.4631;-0.1087;-0.11578;-0.51625;-0.48459;-0.063221;-0.36132;-0.34662;-0.58039;0.17366;0.21822;-0.62636;-0.64929;0.10051;-0.0737;-0.46059;-0.31218;-0.054693;-0.36623
17;0.33021;0.68445;0.034114;0.19586;0.48558;1.0248;0.0062938;0.20512;-0.27358;-0.11749;0.13964;0.061847;0.53466;1.4038;-0.092202;-0.054024;0.77915;1.5344;-0.22658;-0.16601;-0.38918;-0.27604;-0.15385;-0.16054;0.64921;1.5463;-0.12195;-0.1176;-0.57309;-0.55027;-0.076162;-0.34381;-0.38337;-0.65281;0.19176;0.22172;-0.70331;-0.72562;0.098682;-0.060873;-0.50874;-0.37007;-0.06507;-0.37307
18;0.41827;0.79458;0.03729;0.20336;0.60305;1.1457;0.0097281;0.21234;-0.28599;-0.11799;0.14686;0.053373;0.67637;1.5321;-0.10071;-0.062309;0.92529;1.627;-0.24296;-0.18138;-0.43043;-0.3367;-0.16611;-0.16059;0.76622;1.6338;-0.13576;-0.11834;-0.63183;-0.62332;-0.090441;-0.32882;-0.42122;-0.73892;0.21002;0.22401;-0.78397;-0.80699;0.094909;-0.051207;-0.55834;-0.43137;-0.076689;-0.3799
19;0.51933;0.91226;0.040376;0.21135;0.73677;1.2737;0.013449;0.22316;-0.29636;-0.11121;0.15372;0.044854;0.83867;1.669;-0.10932;-0.070712;1.0865;1.725;-0.25883;-0.19641;-0.47376;-0.40193;-0.17785;-0.16123;0.89561;1.7258;-0.15011;-0.11797;-0.69245;-0.70475;-0.10603;-0.31607;-0.46028;-0.83065;0.22841;0.22532;-0.86835;-0.89323;0.089209;-0.044706;-0.6094;-0.49616;-0.089553;-0.38651
20;0.63394;1.0374;0.043365;0.21949;0.88726;1.4082;0.01741;0.23763;-0.30388;-0.09652;0.16031;0.036592;1.0225;1.8146;-0.11798;-0.079076;1.2627;1.8286;-0.2742;-0.21095;-0.5195;-0.47185;-0.18897;-0.16253;1.0376;1.8225;-0.16496;-0.11662;-0.75492;-0.79585;-0.12288;-0.30509;-0.50066;-0.91621;0.24685;0.22584;-0.95645;-0.98407;0.081629;-0.041388;-0.66191;-0.56454;-0.10365;-0.39278
21;0.76254;1.1697;0.046265;0.22725;1.0548;1.5485;0.021582;0.25542;-0.30755;-0.073684;0.16671;0.028897;1.2285;1.9693;-0.12663;-0.087239;1.4538;1.9379;-0.28907;-0.2249;-0.56794;-0.54651;-0.19943;-0.16456;1.1922;1.9238;-0.18029;-0.11459;-0.81925;-0.89768;-0.14092;-0.29529;-0.54248;-0.98792;0.26534;0.22578;-1.0482;-1.0792;0.072233;-0.041265;-0.71591;-0.63658;-0.11896;-0.39869
22;0.90533;1.3089;0.049107;0.23388;1.2393;1.6938;0.025967;0.27572;-0.30621;-0.042679;0.17295;0.022076;1.4569;2.133;-0.13515;-0.095041;1.6591;2.053;-0.30345;-0.23812;-0.61933;-0.62588;-0.20916;-0.16739;1.3594;2.0292;-0.19607;-0.11232;-0.88542;-1.009;-0.16007;-0.28617;-0.58587;-1.0452;0.28385;0.2253;-1.1436;-1.1783;0.061095;-0.044298;-0.77139;-0.71232;-0.13547;-0.40419
23;1.0623;1.4546;0.051963;0.23861;1.4403;1.8433;0.030595;0.29746;-0.29853;-0.0035296;0.17901;0.016428;1.7077;2.3058;-0.14342;-0.10234;1.8777;2.1733;-0.31735;-0.25052;-0.67384;-0.70989;-0.2181;-0.17107;1.5385;2.1383;-0.21229;-0.11038;-0.95343;-1.1243;-0.1803;-0.27739;-0.63099;-1.0911;0.30238;0.22456;-1.2424;-1.2811;0.048299;-0.05035;-0.82836;-0.79177;-0.15313;-0.40921
24;1.2331;1.6063;0.054941;0.24082;1.657;1.9963;0.035523;0.31955;-0.28308;0.043767;0.18483;0.012217;1.9801;2.487;-0.15134;-0.10906;2.108;2.298;-0.33075;-0.26205;-0.73162;-0.79845;-0.22622;-0.17568;1.7288;2.2508;-0.22891;-0.10942;-1.0233;-1.2359;-0.20156;-0.26881;-0.67805;-1.1289;0.32093;0.22368;-1.3444;-1.3873;0.033921;-0.059158;-0.88682;-0.87494;-0.17195;-0.41361
25;1.4172;1.7631;0.058177;0.24004;1.8876;2.1518;0.040822;0.34111;-0.25842;0.099253;0.19038;0.0096473;2.2726;2.6761;-0.15878;-0.11519;2.348;2.4263;-0.3437;-0.27262;-0.79279;-0.89151;-0.23345;-0.18129;1.9289;2.3664;-0.24592;-0.11019;-1.095;-1.3389;-0.2238;-0.26053;-0.72732;-1.1616;0.33949;0.22276;-1.4495;-1.4968;0.018009;-0.070305;-0.94683;-0.96176;-0.19193;-0.41722
26;1.6132;1.9242;0.0618;0.23596;2.1299;2.3091;0.046564;0.36144;-0.22322;0.16297;0.19561;0.0088396;2.5831;2.8722;-0.16564;-0.12078;2.5951;2.5572;-0.35626;-0.28218;-0.85754;-0.98906;-0.23976;-0.18796;2.137;2.4851;-0.26329;-0.11354;-1.1688;-1.4332;-0.24698;-0.25293;-0.77921;-1.192;0.35803;0.22186;-1.5576;-1.6092;0.00058501;-0.083241;-1.0085;-1.0521;-0.21307;-0.41986
27;1.8196;2.088;0.06592;0.22851;2.3808;2.4671;0.052806;0.38002;-0.17634;0.23484;0.20047;0.0098185;2.9085;3.0745;-0.17179;-0.12592;2.8461;2.6903;-0.36854;-0.29063;-0.92618;-1.0911;-0.24515;-0.19571;2.3506;2.6068;-0.28101;-0.12022;-1.245;-1.5209;-0.27107;-0.24661;-0.83427;-1.2223;0.37651;0.22106;-1.6685;-1.7245;-0.018338;-0.09738;-1.0722;-1.1457;-0.23538;-0.42144
28;2.0338;2.2528;0.070626;0.21799;2.6365;2.6248;0.059593;0.39646;-0.1169;0.31454;0.20495;0.012508;3.2448;3.2823;-0.17709;-0.1307;3.0975;2.8252;-0.38068;-0.29792;-0.99917;-1.1975;-0.24962;-0.2045;2.5671;2.7307;-0.29903;-0.13074;-1.324;-1.6045;-0.29604;-0.24251;-0.89319;-1.2548;0.39495;0.22038;-1.7823;-1.8426;-0.038726;-0.11226;-1.1383;-1.2423;-0.25885;-0.42201
29;2.2528;2.4164;0.075994;0.20539;2.8928;2.7812;0.066962;0.41041;-0.044291;0.40142;0.20902;0.016729;3.5875;3.4952;-0.18143;-0.13522;3.3457;2.9615;-0.3928;-0.30398;-1.0771;-1.3082;-0.25317;-0.21425;2.7835;2.8559;-0.31731;-0.14525;-1.4063;-1.6858;-0.32185;-0.24169;-0.95674;-1.2919;0.41338;0.21984;-1.8991;-1.9631;-0.060514;-0.12759;-1.2072;-1.3416;-0.28342;-0.42179
30;2.4729;2.577;0.082082;0.19241;3.1457;2.9353;0.074931;0.42151;0.041921;0.49466;0.21268;0.022191;3.9321;3.7123;-0.1847;-0.13958;3.5868;3.0987;-0.40498;-0.3088;-1.1607;-1.4228;-0.25581;-0.22481;2.9966;2.9813;-0.33578;-0.16365;-1.4925;-1.7669;-0.34843;-0.2452;-1.0258;-1.3359;0.43186;0.21945;-2.0188;-2.0861;-0.08362;-0.14321;-1.2795;-1.4433;-0.309;-0.42105
31;2.6902;2.7328;0.08892;0.18102;3.3914;3.0862;0.08349;0.4294;0.14206;0.59346;0.21594;0.028509;4.274;3.933;-0.18685;-0.14387;3.8174;3.2359;-0.41731;-0.31243;-1.2507;-1.5412;-0.25752;-0.23595;3.2035;3.1054;-0.35434;-0.18567;-1.5831;-1.8492;-0.37573;-0.25387;-1.101;-1.3893;0.45043;0.2192;-2.1414;-2.2114;-0.10796;-0.15889;-1.3558;-1.5472;-0.33551;-0.42008
32;2.9014;2.8826;0.096508;0.17302;3.6262;3.2331;0.092578;0.43378;0.25638;0.69713;0.21882;0.035238;4.6089;4.156;-0.1879;-0.14816;4.034;3.3721;-0.42986;-0.31501;-1.348;-1.6631;-0.25828;-0.24726;3.4012;3.2268;-0.3729;-0.2109;-1.6789;-1.9343;-0.40367;-0.26822;-1.1833;-1.455;0.46914;0.21907;-2.2672;-2.3389;-0.13343;-0.17429;-1.4365;-1.6528;-0.36287;-0.41917
33;3.1036;3.0254;0.10482;0.16979;3.8467;3.3754;0.1021;0.43443;0.38505;0.80509;0.22135;0.041941;4.9328;4.3799;-0.18789;-0.15247;4.2337;3.5062;-0.44271;-0.31672;-1.4535;-1.7881;-0.25804;-0.25817;3.5868;3.344;-0.39133;-0.23876;-1.7804;-2.0234;-0.43222;-0.2885;-1.2732;-1.5354;0.48803;0.21907;-2.3961;-2.4683;-0.15994;-0.18892;-1.5224;-1.7599;-0.39095;-0.41859
34;3.2942;3.1598;0.1138;0.17235;4.0494;3.5126;0.11193;0.43125;0.52801;0.91689;0.22357;0.048251;5.2414;4.6032;-0.18691;-0.1568;4.414;3.6374;-0.45591;-0.31784;-1.5678;-1.9163;-0.25675;-0.26801;3.7576;3.4561;-0.40952;-0.26855;-1.8881;-2.1181;-0.46133;-0.31463;-1.3713;-1.6308;0.50714;0.21916;-2.5282;-2.5994;-0.1873;-0.20211;-1.614;-1.8682;-0.41961;-0.41862
35;3.4703;3.2848;0.12336;0.18133;4.2315;3.6444;0.12198;0.4242;0.6849;1.0322;0.22553;0.053885;5.5313;4.8243;-0.18503;-0.16111;4.573;3.7649;-0.4695;-0.31868;-1.6916;-2.0474;-0.25434;-0.27612;3.9113;3.5617;-0.42737;-0.29949;-2.0027;-2.2194;-0.49097;-0.34622;-1.4779;-1.7362;0.52651;0.21933;-2.6636;-2.7319;-0.21532;-0.2132;-1.7118;-1.9779;-0.4487;-0.4195
36;3.6289;3.3992;0.13342;0.19693;4.391;3.7708;0.13213;0.41336;0.85504;1.1508;0.22727;0.058636;5.7996;5.042;-0.18235;-0.16536;4.7094;3.8886;-0.48349;-0.31966;-1.8256;-2.1815;-0.25073;-0.28202;4.0464;3.6597;-0.4448;-0.33094;-2.1243;-2.3288;-0.52114;-0.38259;-1.5932;-1.844;0.54618;0.21957;-2.8023;-2.8653;-0.24375;-0.22171;-1.8161;-2.089;-0.47805;-0.42142
37;3.7675;3.5018;0.14388;0.21867;4.5267;3.8916;0.14229;0.39909;1.0374;1.2725;0.22883;0.062361;6.0444;5.2552;-0.17895;-0.16951;4.8223;4.0083;-0.49782;-0.3212;-1.9701;-2.3184;-0.24585;-0.28535;4.1615;3.7483;-0.46172;-0.36244;-2.2534;-2.4473;-0.55183;-0.42279;-1.7173;-1.9485;0.56612;0.21986;-2.9442;-2.999;-0.27235;-0.22762;-1.9274;-2.2015;-0.50747;-0.42451
38;3.8846;3.5916;0.15471;0.24528;4.6383;4.007;0.15239;0.3821;1.2306;1.3973;0.23024;0.064969;6.2648;5.4632;-0.17492;-0.17351;4.9116;4.1243;-0.51241;-0.3237;-2.1251;-2.4579;-0.23968;-0.28593;4.256;3.8259;-0.47808;-0.39365;-2.3901;-2.5743;-0.58303;-0.46575;-1.85;-2.0486;0.58629;0.22019;-3.0891;-3.1326;-0.30092;-0.23127;-2.0456;-2.3153;-0.53679;-0.42888
39;3.9792;3.668;0.16588;0.2749;4.7259;4.1168;0.16231;0.3634;1.4329;1.5253;0.23153;0.066404;6.4602;5.6653;-0.17038;-0.17732;4.9776;4.2368;-0.52713;-0.3274;-2.2906;-2.5998;-0.23221;-0.28374;4.3298;3.8908;-0.49385;-0.42415;-2.5342;-2.7062;-0.61473;-0.51048;-1.9909;-2.1456;0.60662;0.22055;-3.2368;-3.2655;-0.32933;-0.2332;-2.1709;-2.4302;-0.56583;-0.43461
40;4.0514;3.7305;0.17736;0.30555;4.79;4.2209;0.17198;0.34406;1.642;1.6564;0.23266;0.066649;6.6308;5.8606;-0.16542;-0.18091;5.0212;4.3463;-0.54182;-0.33242;-2.4662;-2.7437;-0.22351;-0.27891;4.3831;3.9421;-0.50903;-0.45336;-2.6855;-2.838;-0.6469;-0.55613;-2.1394;-2.2409;0.62702;0.22092;-3.387;-3.3971;-0.35743;-0.23405;-2.3028;-2.5461;-0.59446;-0.44178
41;4.1015;3.7791;0.18913;0.33548;4.8319;4.3191;0.1813;0.32502;1.8554;1.7907;0.23359;0.065732;6.7772;6.0486;-0.16019;-0.18431;5.0437;4.4533;-0.55629;-0.33878;-2.6512;-2.8894;-0.21367;-0.27174;4.4168;3.9798;-0.52365;-0.4805;-2.8434;-2.9663;-0.67952;-0.60203;-2.2946;-2.3357;0.64735;0.22129;-3.5391;-3.5271;-0.3851;-0.23448;-2.4408;-2.6625;-0.62256;-0.45047
42;4.13;3.8144;0.20117;0.36329;4.8534;4.411;0.1902;0.30706;2.0702;1.9282;0.23422;0.063735;6.9005;6.2288;-0.15485;-0.18761;5.0471;4.5578;-0.5703;-0.34647;-2.8445;-3.0366;-0.20286;-0.26266;4.4322;4.0052;-0.53773;-0.50463;-3.0069;-3.0906;-0.71255;-0.64763;-2.4552;-2.431;0.66747;0.22164;-3.6924;-3.6549;-0.4122;-0.23524;-2.5841;-2.7793;-0.65001;-0.46072
43;4.1382;3.8372;0.21347;0.3879;4.8565;4.4962;0.19864;0.29078;2.2838;2.0689;0.23444;0.060802;7.0024;6.4006;-0.14959;-0.19092;5.0335;4.6592;-0.58356;-0.35542;-3.0445;-3.1849;-0.19125;-0.25216;4.4311;4.0203;-0.5513;-0.52483;-3.1749;-3.2118;-0.74597;-0.69252;-2.6195;-2.5272;0.68716;0.22194;-3.8461;-3.7803;-0.4386;-0.23707;-2.7317;-2.8961;-0.67667;-0.47258
44;4.1278;3.8493;0.22603;0.40866;4.8438;4.5742;0.20664;0.27662;2.4935;2.2125;0.23411;0.057133;7.0846;6.5634;-0.14462;-0.19437;5.0055;4.756;-0.5958;-0.36556;-3.2495;-3.3341;-0.17904;-0.24071;4.4155;4.0279;-0.56439;-0.54043;-3.3458;-3.3311;-0.77974;-0.73637;-2.7857;-2.6248;0.70623;0.22218;-3.9989;-3.9029;-0.46418;-0.24062;-2.8823;-3.0127;-0.70243;-0.4861
45;4.1011;3.8525;0.23881;0.42541;4.8177;4.6444;0.21424;0.26488;2.6966;2.3585;0.23309;0.052974;7.1494;6.7163;-0.14012;-0.1981;4.9658;4.8464;-0.60676;-0.37676;-3.4576;-3.4838;-0.16644;-0.22872;4.3878;4.0313;-0.577;-0.5512;-3.5181;-3.4491;-0.8138;-0.7789;-2.9517;-2.7238;0.7245;0.22234;-4.1498;-4.0225;-0.48887;-0.24637;-3.0345;-3.1288;-0.72722;-0.50131
46;4.0608;3.8491;0.25176;0.43864;4.7808;4.7063;0.22153;0.25572;2.8909;2.506;0.23126;0.048609;7.1988;6.8587;-0.13622;-0.20225;4.9171;4.9291;-0.61623;-0.38886;-3.6668;-3.6337;-0.15366;-0.21653;4.3501;4.0344;-0.58913;-0.5573;-3.69;-3.5663;-0.8481;-0.81991;-3.1157;-2.8242;0.74176;0.22239;-4.2976;-4.1391;-0.51262;-0.25457;-3.1871;-3.2442;-0.75098;-0.51821
47;4.0092;3.8406;0.26479;0.44931;4.7353;4.7592;0.22861;0.24918;3.0744;2.6542;0.22854;0.044354;7.2347;6.9899;-0.13304;-0.20697;4.862;5.0031;-0.62406;-0.40168;-3.8753;-3.7834;-0.14097;-0.20447;4.3049;4.0414;-0.60074;-0.55913;-3.86;-3.6831;-0.88258;-0.8593;-3.2755;-2.9256;0.75783;0.22233;-4.4411;-4.2525;-0.53541;-0.26531;-3.3386;-3.3586;-0.77371;-0.53675
48;3.9489;3.8278;0.27781;0.45857;4.6834;4.8025;0.23556;0.2452;3.2457;2.8021;0.22483;0.040546;7.259;7.1099;-0.1307;-0.21236;4.8029;5.0681;-0.63014;-0.41499;-4.0811;-3.9325;-0.1286;-0.19279;4.2543;4.0556;-0.61176;-0.55722;-4.0262;-3.7997;-0.91714;-0.89703;-3.4293;-3.0277;0.7725;0.22215;-4.5793;-4.3624;-0.5572;-0.27855;-3.4879;-3.4715;-0.7954;-0.55686
49;3.8821;3.8108;0.29074;0.46747;4.6272;4.8358;0.24248;0.24367;3.4042;2.9487;0.2201;0.03752;7.2735;7.219;-0.12929;-0.21843;4.7421;5.1241;-0.63443;-0.42851;-4.2826;-4.0805;-0.11679;-0.18169;4.2004;4.0783;-0.62214;-0.55233;-4.1874;-3.9159;-0.95172;-0.93314;-3.5756;-3.1297;0.7856;0.22187;-4.7112;-4.469;-0.57802;-0.29418;-3.6338;-3.5826;-0.81601;-0.57837
50;3.8111;3.7895;0.30352;0.47686;4.5687;4.8588;0.24946;0.24444;3.5494;3.0929;0.2143;0.035578;7.28;7.3183;-0.12889;-0.22512;4.6816;5.1714;-0.6369;-0.44192;-4.4782;-4.2271;-0.10566;-0.17132;4.145;4.108;-0.63178;-0.54543;-4.3421;-4.0316;-0.98623;-0.96773;-3.7127;-3.231;0.79701;0.22148;-4.8361;-4.572;-0.59788;-0.31192;-3.7751;-3.6917;-0.83549;-0.60107
51;3.7379;3.764;0.3161;0.48739;4.5097;4.8712;0.25659;0.24735;3.6807;3.2339;0.20745;0.034963;7.2797;7.4089;-0.12959;-0.23231;4.6233;5.2102;-0.63759;-0.45482;-4.6662;-4.3717;-0.095301;-0.16182;4.0898;4.142;-0.64063;-0.53777;-4.4892;-4.1466;-1.0206;-1.0009;-3.8398;-3.3309;0.80664;0.22103;-4.9532;-4.6715;-0.61687;-0.33145;-3.9109;-3.7983;-0.85376;-0.6247
52;3.6647;3.7346;0.32847;0.49947;4.4516;4.8733;0.26393;0.25223;3.7976;3.3706;0.19957;0.035837;7.2738;7.4913;-0.13141;-0.23981;4.5685;5.2406;-0.63653;-0.46676;-4.8453;-4.514;-0.085697;-0.15332;4.0362;4.1778;-0.64863;-0.53073;-4.6275;-4.2606;-1.0547;-1.0327;-3.9557;-3.4287;0.81445;0.22056;-5.0619;-4.7674;-0.63509;-0.35242;-4.04;-3.9022;-0.87074;-0.64902
53;3.5931;3.7016;0.34061;0.51311;4.3955;4.8654;0.27157;0.25895;3.8992;3.502;0.19072;0.038278;7.2633;7.5652;-0.13439;-0.24745;4.5186;5.2628;-0.63379;-0.47726;-5.0142;-4.6537;-0.076815;-0.14596;3.985;4.2138;-0.65574;-0.52544;-4.7562;-4.3732;-1.0884;-1.0634;-4.06;-3.5239;0.82046;0.22012;-5.1617;-4.8598;-0.65266;-0.37462;-4.1618;-4.003;-0.8864;-0.67386
54;3.5249;3.6655;0.35256;0.52784;4.3422;4.8482;0.27954;0.26752;3.9852;3.6273;0.18096;0.042273;7.2489;7.6296;-0.1385;-0.25501;4.4742;5.2771;-0.62944;-0.48586;-5.1719;-4.7902;-0.068597;-0.13989;3.9372;4.2496;-0.6619;-0.52251;-4.8746;-4.4842;-1.1218;-1.0928;-4.1522;-3.6164;0.82473;0.21979;-5.2523;-4.9488;-0.66966;-0.39803;-4.2754;-4.1006;-0.90068;-0.699
55;3.4612;3.6267;0.3643;0.54274;4.2921;4.8226;0.28789;0.2781;4.0558;3.7455;0.17035;0.047714;7.231;7.6837;-0.14367;-0.26227;4.4359;5.2848;-0.62359;-0.49231;-5.3175;-4.9231;-0.060971;-0.1353;3.8931;4.2857;-0.66705;-0.52195;-4.9824;-4.5931;-1.1547;-1.1211;-4.2324;-3.7062;0.82733;0.21964;-5.3336;-5.0344;-0.68618;-0.42274;-4.3803;-4.1949;-0.91353;-0.72418
