i;ii;iii;iv
0.016714;0.13225;-0.31926;-0.0734
0.017627;0.13278;-0.3219;-0.076854
0.018456;0.13326;-0.32426;-0.079385
0.019201;0.1337;-0.32632;-0.081029
0.01986;0.13411;-0.32809;-0.081841
0.020433;0.1345;-0.32954;-0.081898
0.020918;0.13488;-0.33069;-0.081298
0.021316;0.13524;-0.33152;-0.08015
0.021628;0.13559;-0.33203;-0.078573
0.021852;0.13595;-0.33225;-0.076686
0.021983;0.13631;-0.33216;-0.074605
0.022014;0.13668;-0.3318;-0.072443
0.021937;0.13702;-0.33116;-0.070307
0.021741;0.13733;-0.33028;-0.068293
0.02142;0.13756;-0.32916;-0.066478
0.020973;0.1377;-0.32784;-0.064912
0.020403;0.13772;-0.32633;-0.06362
0.019722;0.13761;-0.32467;-0.062605
0.018951;0.13736;-0.32286;-0.061855
0.018118;0.13697;-0.32094;-0.061346
0.017259;0.13644;-0.31892;-0.061049
0.016404;0.13579;-0.31681;-0.060928
0.015583;0.13503;-0.31462;-0.060947
0.014811;0.13419;-0.31233;-0.06107
0.014101;0.13328;-0.30996;-0.061272
0.01346;0.13233;-0.30749;-0.061537
0.012896;0.13136;-0.30491;-0.061854
0.012415;0.13038;-0.30222;-0.062219
0.012023;0.12941;-0.29941;-0.062621
0.011719;0.12845;-0.29647;-0.063046
0.011498;0.12751;-0.2934;-0.063477
0.011346;0.12657;-0.2902;-0.063896
0.011248;0.12564;-0.28687;-0.064287
0.011183;0.12471;-0.28341;-0.064633
0.011132;0.12378;-0.27983;-0.064904
0.011078;0.12284;-0.27613;-0.065057
0.011004;0.1219;-0.2723;-0.065038
0.010895;0.12094;-0.26835;-0.064787
0.010737;0.11997;-0.26428;-0.064244
0.010521;0.11899;-0.26011;-0.063359
0.010243;0.11799;-0.25583;-0.062084
0.0099035;0.11698;-0.25146;-0.06038
0.0095074;0.11597;-0.24699;-0.058207
0.009061;0.11496;-0.24244;-0.055531
0.0085723;0.11397;-0.2378;-0.052333
0.0080501;0.11298;-0.23307;-0.048617
0.0075049;0.112;-0.22824;-0.044409
0.0069469;0.11104;-0.22334;-0.039762
0.0063849;0.11008;-0.21835;-0.034737
0.0058251;0.10913;-0.2133;-0.0294
0.0052709;0.10817;-0.20818;-0.023816
0.0047246;0.10719;-0.20299;-0.018053
0.0041882;0.10618;-0.19774;-0.01218
0.0036646;0.10513;-0.19242;-0.0062602
0.0031582;0.10403;-0.18701;-0.00034565
0.0026735;0.10287;-0.18152;0.0055267
0.0022135;0.10164;-0.17593;0.011332
0.0017795;0.10032;-0.17023;0.017051
0.0013716;0.098896;-0.16443;0.022661
0.00098903;0.097344;-0.15851;0.028139
0.00062945;0.095649;-0.15249;0.033473
0.00028899;0.093805;-0.14637;0.038654
-3.7756e-05;0.091811;-0.14016;0.04368
-0.0003574;0.089671;-0.13388;0.048545
-0.00067626;0.087395;-0.12757;0.053232
-0.00099785;0.08499;-0.12125;0.057705
-0.001321;0.082459;-0.11497;0.061915
-0.0016402;0.079805;-0.10877;0.065802
-0.0019473;0.077031;-0.10269;0.069302
-0.0022348;0.074143;-0.096774;0.072359
-0.002497;0.071143;-0.091045;0.074918
-0.00273;0.068029;-0.085529;0.076934
-0.0029308;0.064792;-0.08024;0.078364
-0.003097;0.061428;-0.075187;0.079174
-0.0032259;0.057936;-0.07037;0.079346
-0.0033154;0.054323;-0.065787;0.078883
-0.0033633;0.050607;-0.06143;0.077808
-0.0033687;0.04681;-0.057287;0.076164
-0.0033319;0.042959;-0.05334;0.074007
-0.0032553;0.039083;-0.049571;0.071399
-0.0031425;0.035211;-0.045961;0.068401
-0.0029972;0.031377;-0.04249;0.065074
-0.002822;0.027616;-0.039141;0.061478
-0.0026202;0.023966;-0.035899;0.057674
-0.0023978;0.020471;-0.032752;0.053717
-0.0021635;0.017169;-0.029694;0.049654
-0.0019261;0.014097;-0.026725;0.04552
-0.001692;0.011288;-0.023848;0.041344
-0.0014648;0.0087749;-0.02107;0.037157
-0.0012467;0.0065822;-0.018401;0.032994
