i;ii;iii;iv
-0.019491;0.018958;0.0085624;0.037903
-0.019831;0.019581;0.0085182;0.038308
-0.020152;0.020205;0.0085001;0.03859
-0.02045;0.020835;0.0085081;0.038743
-0.020726;0.021474;0.0085407;0.038763
-0.020978;0.022126;0.0085943;0.038645
-0.021203;0.022795;0.0086638;0.038385
-0.021401;0.023484;0.0087429;0.037981
-0.02157;0.024196;0.0088237;0.037431
-0.021708;0.024936;0.008898;0.036733
-0.021816;0.025705;0.0089568;0.035888
-0.021893;0.026505;0.0089913;0.034898
-0.02194;0.027336;0.0089933;0.033766
-0.021958;0.0282;0.0089557;0.032496
-0.02195;0.029094;0.0088735;0.031091
-0.02192;0.030019;0.0087437;0.029558
-0.021872;0.030971;0.0085665;0.0279
-0.021811;0.031947;0.0083445;0.026123
-0.021741;0.032943;0.0080826;0.024233
-0.021666;0.033955;0.0077874;0.022233
-0.02159;0.034976;0.0074663;0.020129
-0.021515;0.035999;0.0071273;0.017928
-0.021444;0.037018;0.0067782;0.015633
-0.021377;0.038026;0.0064264;0.01325
-0.021314;0.039015;0.0060785;0.010785
-0.021254;0.039979;0.00574;0.0082449
-0.021195;0.040913;0.0054155;0.0056358
-0.021137;0.041812;0.0051083;0.0029657
-0.021078;0.042673;0.0048208;0.00024318
-0.021017;0.043495;0.0045543;-0.0025222
-0.020954;0.044276;0.0043093;-0.0053202
-0.020888;0.045017;0.0040855;-0.00814
-0.02082;0.045719;0.0038818;-0.01097
-0.020752;0.046383;0.0036967;-0.013799
-0.020683;0.047011;0.0035281;-0.016614
-0.020617;0.047605;0.0033734;-0.019403
-0.020553;0.048165;0.0032295;-0.022154
-0.020494;0.048695;0.0030932;-0.024854
-0.02044;0.049195;0.002961;-0.027491
-0.020392;0.049666;0.0028295;-0.03005
-0.020351;0.05011;0.0026952;-0.032519
-0.020317;0.050527;0.0025551;-0.034885
-0.020289;0.050919;0.0024063;-0.037135
-0.020268;0.051285;0.0022458;-0.039257
-0.02025;0.051626;0.0020708;-0.041238
-0.020236;0.051943;0.0018783;-0.043068
-0.020222;0.052236;0.0016649;-0.044736
-0.020205;0.052505;0.0014274;-0.046234
-0.020182;0.052752;0.0011626;-0.047555
-0.020149;0.052977;0.00086714;-0.048694
-0.020103;0.053181;0.00053796;-0.049647
-0.02004;0.053369;0.00017233;-0.050416
-0.019956;0.053541;-0.00023198;-0.051006
-0.019851;0.053703;-0.00067643;-0.051423
-0.019722;0.053858;-0.0011614;-0.051677
-0.01957;0.054011;-0.0016858;-0.051782
-0.019396;0.054167;-0.0022467;-0.05175
-0.019202;0.054329;-0.0028393;-0.051593
-0.018992;0.054502;-0.0034566;-0.051324
-0.018771;0.054686;-0.0040899;-0.050956
-0.018543;0.054881;-0.0047297;-0.0505
-0.018313;0.055086;-0.0053658;-0.049965
-0.018084;0.055296;-0.0059878;-0.049358
-0.01786;0.055505;-0.0065856;-0.048687
-0.017644;0.055705;-0.0071499;-0.047956
-0.017437;0.055887;-0.0076721;-0.047167
-0.017239;0.056042;-0.0081451;-0.046321
-0.017051;0.056161;-0.0085626;-0.045419
-0.01687;0.056234;-0.0089198;-0.044458
-0.016696;0.056253;-0.0092127;-0.043434
-0.016526;0.056211;-0.0094382;-0.042346
-0.016358;0.056102;-0.0095942;-0.041189
-0.01619;0.055921;-0.0096797;-0.03996
-0.016019;0.055663;-0.0096941;-0.038657
