t,z,f
109.668,2.17494,-8.03716
109.669,2.18791,-8.12057
109.67,2.20061,-8.20529
109.671,2.21201,-8.2915
109.672,2.22253,-8.37906
109.673,2.23821,-8.46746
109.674,2.24995,-8.55589
109.675,2.26028,-8.64331
109.676,2.27062,-8.72851
109.677,2.27296,-8.81029
109.678,2.28016,-8.88749
109.679,2.28964,-8.95911
109.68,2.2989,-9.02442
109.681,2.30758,-9.08293
109.682,2.31624,-9.13443
109.683,2.32463,-9.179
109.684,2.33244,-9.2169
109.685,2.34307,-9.24855
109.686,2.35042,-9.27445
109.687,2.35601,-9.29511
109.688,2.3614,-9.31102
109.689,2.36656,-9.32258
109.69,2.37146,-9.33011
109.691,2.37606,-9.33389
109.692,2.37979,-9.33415
109.693,2.38292,-9.33111
109.694,2.38355,-9.32507
109.695,2.38355,-9.31644
109.696,2.38355,-9.30573
109.697,2.39098,-9.29358
109.698,2.39419,-9.28076
109.699,2.39588,-9.26809
109.7,2.39601,-9.2564
109.701,2.39602,-9.24643
109.702,2.3963,-9.23876
109.703,2.39636,-9.23373
109.704,2.39597,-9.23137
109.705,2.39523,-9.23138
109.706,2.39444,-9.23308
109.707,2.39324,-9.23553
109.708,2.39209,-9.2375
109.709,2.3907,-9.23762
109.71,2.38889,-9.23448
109.711,2.38723,-9.22673
109.712,2.3869,-9.2132
109.713,2.38615,-9.19303
109.714,2.38271,-9.16567
109.715,2.37969,-9.13096
109.716,2.37619,-9.08912
109.717,2.37255,-9.04068
109.718,2.36869,-8.98641
109.719,2.36428,-8.92723
109.72,2.35924,-8.86411
109.721,2.35459,-8.79791
109.722,2.34807,-8.72934
109.723,2.34201,-8.65887
109.724,2.33572,-8.58669
109.725,2.32497,-8.51268
109.726,2.31667,-8.4365
109.727,2.30908,-8.35764
109.728,2.30091,-8.27545
109.729,2.29223,-8.18933
109.73,2.2901,-8.09876
109.731,2.28335,-8.00341
109.732,2.27264,-7.90322
109.733,2.26402,-7.79842
109.734,2.2552,-7.68953
109.735,2.24459,-7.57736
109.736,2.2352,-7.46293
109.737,2.22408,-7.34737
109.738,2.20511,-7.23189
109.739,2.18907,-7.11765
109.74,2.17435,-7.00567
109.741,2.15891,-6.89677
109.742,2.14376,-6.79155
109.743,2.12812,-6.69035
109.744,2.11273,-6.59324
109.745,2.09904,-6.50008
109.746,2.08453,-6.41059
109.747,2.08142,-6.32434
109.748,2.05857,-6.24087
109.749,2.0348,-6.15973
109.75,2.01954,-6.08052
109.751,2.00266,-6.00291
109.752,1.98379,-5.92667
109.753,1.96346,-5.85167
109.754,1.94406,-5.77784
109.755,1.92434,-5.70514
109.756,1.90651,-5.63358
109.757,1.88488,-5.56311
109.758,1.86343,-5.49369
109.759,1.83177,-5.42518
109.76,1.80526,-5.35744
109.761,1.78061,-5.29026
109.762,1.75836,-5.22344
109.763,1.7324,-5.15677
109.764,1.70687,-5.09011
109.765,1.68193,-5.02336
109.766,1.6566,-4.95651
109.767,1.63529,-4.88964
109.768,1.6307,-4.82291
109.769,1.60921,-4.75654
109.77,1.58344,-4.69078
109.771,1.54457,-4.62588
109.772,1.51411,-4.56206
109.773,1.48707,-4.49948
109.774,1.45636,-4.43819
109.775,1.42974,-4.37815
109.776,1.40081,-4.31923
109.777,1.37202,-4.26122
109.778,1.34571,-4.20387
109.779,1.31765,-4.14692
109.78,1.27265,-4.09014
109.781,1.24194,-4.03339
109.782,1.21085,-3.97663
109.783,1.20474,-3.91996
109.784,1.17232,-3.86362
109.785,1.14658,-3.80796
109.786,1.12093,-3.75343
109.787,1.08696,-3.70054
109.788,1.05689,-3.64977
