time_window,perc10,perc25,perc50,perc75,perc90
107,0.310156888480277,0.578977011696907,1.19815910900294,2.41950632710834,4.59257316382599
108,0.306254383440823,0.564302053507946,1.15389085648715,2.32436746600057,4.41595848849213
109,0.295986002861491,0.551515690498594,1.1232939470003,2.2572651770722,4.3254080966473
110,0.285952755066163,0.535814858523876,1.08646540364665,2.14077586371197,4.24825313653424
111,0.277761992556588,0.514445843823829,1.05218041579132,2.06798366839108,4.05573092190395
112,0.269716192510038,0.5031725181446,1.02035721561873,2.00940981936938,3.86994987602862
113,0.258872279103659,0.494154910891149,0.993820486858904,1.94324686103025,3.69919695290147
114,0.256727078790074,0.485736457826605,0.961415269619438,1.87886925447924,3.59540821110433
115,0.250568478189905,0.465910624816466,0.933343450095788,1.81978187036909,3.46676531673898
116,0.245258166797409,0.454794889188065,0.914963609705219,1.76623487933086,3.43037163312154
117,0.244498275432048,0.446429456379559,0.877907990284163,1.73400494387448,3.35137920099116
118,0.240539566184869,0.435570926371468,0.863880319701134,1.68209734754465,3.32068977027461
119,0.237215472037,0.423110307786637,0.828325453816955,1.61247901427742,3.208479209978
120,0.230769633832411,0.416642088842752,0.803164753761757,1.55459736216068,3.05637707999147
121,0.225632684123483,0.413168933677182,0.770916115111044,1.52372615004969,2.91572801166807
122,0.219333954150144,0.395095283495833,0.744709852041316,1.47707209111417,2.83385222004063
123,0.218048821674416,0.384073657312871,0.727165098700119,1.42449559554747,2.79870301891925
124,0.219798064318827,0.38475758403319,0.713564918253156,1.38203587258642,2.66191812634195
125,0.212442755934494,0.370938853845225,0.692379334083792,1.36658447338333,2.55386408281073
126,0.212528103148329,0.363275538264972,0.674311624254094,1.30796423992381,2.51189906078354
127,0.206797691990963,0.356544111723531,0.659673147233773,1.25782674057273,2.46951630311039
128,0.204666544077463,0.349527055965907,0.640011600223135,1.21992002304253,2.46989440047584
129,0.202908451774253,0.339226261078173,0.629396179678473,1.18794792757942,2.41770629798715
130,0.196202570763716,0.336318434988524,0.613576485596527,1.162856011091,2.32227532723547
131,0.190334176168313,0.329601430013061,0.599030560473153,1.12603382173553,2.22803083303292
132,0.190354106922085,0.324882478181339,0.58529180350174,1.08316177087171,2.14912354575615
133,0.191964046473878,0.318504574453753,0.569656205639664,1.07512306607436,2.05934787353112
134,0.187144408803303,0.316139246201743,0.556633119573339,1.03914900612943,1.97655520666718
135,0.181005239262347,0.311744143845344,0.54350825291864,1.01698861227913,1.91562525114541
136,0.180867545512357,0.303502802484939,0.529319277374709,0.977022019733703,1.83387519963397
137,0.180340529104633,0.298213103223144,0.510932421436043,0.945593321409774,1.81779875584303
138,0.178277810033286,0.298185138074143,0.497899532064801,0.920442616938699,1.76874866104812
139,0.175086334362331,0.292605301942059,0.491943961417761,0.899497842134219,1.68541168471191
140,0.176613401518079,0.284991690304425,0.483320560962059,0.881066271543998,1.67588905249386
141,0.173203513005274,0.281021809926962,0.477741198102189,0.869389620954163,1.63965951673093
142,0.168960589323586,0.279471255000032,0.472028612056752,0.835413738362585,1.62775805905256
143,0.166617918297957,0.2765423192066,0.463836908218315,0.823862022985585,1.58807461631802
144,0.164507433217193,0.272284788122159,0.457340652009315,0.814210349649001,1.53433195209778
145,0.163817063730192,0.270692703532266,0.454478664961439,0.817287553671668,1.49848677148692
146,0.165866990006398,0.268350330387302,0.449586222346865,0.809319902450279,1.471243622679
147,0.163993728149859,0.266272025555577,0.445824657768777,0.798334396467128,1.44113169791118
148,0.163303417814915,0.263625270132304,0.444329983943975,0.78814228973291,1.39118868217412
149,0.162546281076433,0.260812856124077,0.438132214677549,0.760538071879081,1.37356202847047
150,0.15978532404615,0.256006201239672,0.432503514194224,0.752471206606519,1.33415076820832
151,0.15650916529015,0.255057431197974,0.42876530406815,0.745237377286795,1.33677566554469
152,0.154897102946831,0.252347200499672,0.421408115202589,0.734871183544086,1.31926985713677
153,0.152958103006373,0.248781122268201,0.422954769351973,0.720912193054137,1.3034552964655
154,0.152037202399455,0.246789152914837,0.419233365844877,0.719926615648723,1.24775702737911
