interp_window,qrtl_R2_1_1,qrtl_R2_1_2,qrtl_R2_1_3,qrtl_R2_2_1,qrtl_R2_2_2,qrtl_R2_2_3
374,-0.252576018422931,0.943468759909891,0.989440391191486,-2.30105852307617,0.938064230106503,0.987578546482516
377,-0.371417375468431,0.944399881889854,0.98840802008217,-2.16341952679455,0.934994271314772,0.987108170259757
380,-0.403894113641263,0.943629945007515,0.988321166416168,-2.23796462274049,0.935697686105811,0.987681742359815
383,-0.339614247166963,0.939002765815485,0.988692905052021,-2.57610742378358,0.928881301670869,0.987062512152205
386,-0.532889979976724,0.937147792232447,0.988654432472828,-2.60735492424709,0.926632170346794,0.984275816365167
389,-0.686136656852215,0.936919630412563,0.988156690838701,-3.03882594245627,0.924902299672167,0.9838329415232
392,-0.714369838995959,0.933605775313042,0.989271283200697,-3.03499911854379,0.920887364826914,0.983643714560324
395,-0.752153724989382,0.932303945085959,0.989159798319596,-2.98431874909449,0.909970366797291,0.983515605909489
398,-0.956901981777016,0.932529675471886,0.989031501598727,-2.79180529180317,0.898728404338467,0.983637841271795
401,-0.888606507511888,0.93287156304924,0.988892918714049,-2.75301533317802,0.897862144265789,0.983897067338084
404,-0.883402477015386,0.933544556714421,0.98895770858773,-2.56576673196241,0.897007367339523,0.982494525843741
407,-0.972767553237231,0.935691377624197,0.988982266926296,-2.60228187909163,0.896863488890119,0.981769858616826
410,-1.01236315390536,0.933603593062185,0.989332046915571,-2.56887379950929,0.904395018679206,0.981359497479451
413,-0.99387819953142,0.93082198301528,0.989416754739188,-2.5199409032263,0.904329060788482,0.980922706340439
416,-0.989635371750528,0.926412683046249,0.988893478367612,-2.55478785051779,0.903836027751932,0.980725174360234
419,-1.06939781022587,0.919039041121279,0.988701135046684,-2.51712125035673,0.903366889467292,0.980429779523994
422,-1.12651673799869,0.91403895917586,0.988588240707294,-2.55292606406193,0.895025297995023,0.980952502757344
425,-1.2450590273778,0.911343994112595,0.989004813517994,-2.59738328346213,0.897709985469955,0.982377818377389
428,-1.35472881498367,0.909245350633927,0.988978219893051,-2.56217716935397,0.897911370643745,0.981542863241263
431,-1.45728887919487,0.909244556513732,0.988836619064396,-2.52119563080674,0.898118750997876,0.981035625976237
434,-1.48831193307427,0.913036431653153,0.989063338830651,-2.46736247171094,0.896602213045419,0.981517431346957
437,-1.42195217063779,0.906786036341479,0.989071282099126,-2.46846130537872,0.892704675649376,0.983613963784303
440,-1.68347689108091,0.902462363344199,0.988609975721257,-2.5282828334666,0.894880221938851,0.983256962088408
443,-1.82241282876856,0.902589578354307,0.988865319330849,-2.62544613254721,0.897151680873537,0.98313360958138
446,-1.76816504917542,0.901233683043604,0.988847089195655,-2.74628747781503,0.899397193891456,0.982370245585102
449,-1.88309517256455,0.902364713883963,0.98844220792759,-2.80850699064179,0.899776315562701,0.981911232529178
452,-1.93764211984679,0.896827083985792,0.988163652420644,-2.87129747817758,0.899373133379171,0.981337763610631
455,-1.65335888980551,0.878190961191076,0.98664582182403,-2.84306016097739,0.899504268347223,0.980999072037717
458,-1.70702680177234,0.857101132404758,0.987112390655989,-2.83313084167146,0.898749062147614,0.980452919601255
461,-1.99958707988406,0.869306784947965,0.987800411914649,-2.76631739234225,0.897240724385151,0.980362269115063
464,-1.97515554330276,0.866057121601167,0.987528966420849,-2.67924499731516,0.896674896407492,0.979999017982263
467,-2.08066915815516,0.860569523989445,0.987591992055343,-2.74810418574867,0.896150547936892,0.980911068978085
470,-2.15490182792859,0.844275281422033,0.9876277274738,-2.75877423240801,0.894974815141709,0.982072318719995
