time,j4_velocity,j4_velocity_cmd
72.686000512,0.154867243487,0.169616504771
72.687000512,0.154867243487,0.169616504771
72.688000512,0.154867243487,0.169616504771
72.689000512,0.154867243487,0.169616504771
72.690000512,0.154867243487,0.169616504771
72.691000512,0.154867243487,0.169616504771
72.692000512,0.154867243487,0.169616504771
72.693000512,0.154867243487,0.169616504771
72.694000512,0.154867243487,0.169616504771
72.695000512,0.154867243487,0.169616504771
72.696000512,0.154867243487,0.169616504771
72.697000512,0.139465500233452,0.169616504771
72.698000512,0.13274335156,0.169616504771
72.699000512,0.14776551958396,0.169616504771
72.700000512,0.139856016023097,0.169616504771
72.701000512,0.13274335156,0.169616504771
72.702000512,0.147831924807588,0.169616504771
72.703000512,0.139850164686768,0.169616504771
72.704000512,0.13274335156,0.169616504771
72.705000512,0.148129616250259,0.169616504771
72.706000512,0.13947043986449,0.169616504771
72.707000512,0.13274335156,0.169616504771
72.708000512,0.117460916827301,0.169616504771
72.709000512,0.124948798890835,0.169616504771
72.710000512,0.13274335156,0.169616504771
72.711000512,0.13274335156,0.169616504771
72.712000512,0.146821650487452,0.169616504771
72.713000512,0.140229212713579,0.169616504771
72.714000512,0.13274335156,0.169616504771
72.715000512,0.13274335156,0.169616504771
72.716000512,0.146628000976331,0.169616504771
72.717000512,0.154867243487,0.169616504771
72.718000512,0.154867243487,0.169616504771
72.719000512,0.139847366463188,0.208109870317778
72.720000512,0.13274335156,0.225663697652
72.721000512,0.147760064342428,0.225663697652
72.722000512,0.141727786010396,0.225663697652
72.723000512,0.157723965605662,0.225663697652
72.724000512,0.176991135414,0.225663697652
72.725000512,0.192008262314412,0.225663697652
72.726000512,0.19911502734,0.225663697652
72.727000512,0.214321295982046,0.225663697652
72.728000512,0.221238919267,0.225663697652
72.729000512,0.205897768897604,0.225663697652
72.730000512,0.19911502734,0.225663697652
72.731000512,0.212165800858243,0.225663697652
72.732000512,0.206426458148369,0.225663697652
72.733000512,0.19911502734,0.225663697652
72.734000512,0.19911502734,0.225663697652
72.735000512,0.19911502734,0.225663697652
72.736000512,0.21506240251905,0.225663697652
72.737000512,0.221238919267,0.225663697652
72.738000512,0.208055831430198,0.225663697652
72.739000512,0.212564859756622,0.225663697652
72.740000512,0.221238919267,0.225663697652
72.741000512,0.221238919267,0.225663697652
72.742000512,0.205433999180931,0.225663697652
72.743000512,0.214689406209967,0.225663697652
72.744000512,0.221238919267,0.225663697652
72.745000512,0.221238919267,0.225663697652
72.746000512,0.208701418610987,0.225663697652
72.747000512,0.212356484228986,0.225663697652
72.748000512,0.221238919267,0.225663697652
72.749000512,0.2065440446361,0.225663697652
72.750000512,0.19911502734,0.225663697652
72.751000512,0.214603186441807,0.225663697652
72.752000512,0.221238919267,0.225663697652
72.753000512,0.206268769533303,0.225663697652
72.754000512,0.211972663886848,0.225663697652
72.755000512,0.207690296077578,0.225663697652
72.756000512,0.213250633228176,0.225663697652
72.757000512,0.206700233097538,0.225663697652
72.758000512,0.19911502734,0.225663697652
72.759000512,0.183890116087195,0.225663697652
72.760000512,0.192176222459206,0.225663697652
72.761000512,0.213753442949139,0.225663697652
72.762000512,0.208237724929679,0.225663697652
72.763000512,0.19911502734,0.225663697652
72.764000512,0.19911502734,0.225663697652
72.765000512,0.19911502734,0.225663697652
72.766000512,0.2145682662445,0.225663697652
72.767000512,0.206035602412857,0.225663697652
72.768000512,0.19911502734,0.225663697652
72.769000512,0.19911502734,0.225663697652
72.770000512,0.19911502734,0.225663697652
72.771000512,0.19911502734,0.225663697652
72.772000512,0.19911502734,0.225663697652
72.773000512,0.212860435841125,0.225663697652
72.774000512,0.206664508407666,0.225663697652
72.775000512,0.19911502734,0.225663697652
72.776000512,0.19911502734,0.225663697652
72.777000512,0.19911502734,0.225663697652
72.778000512,0.212426118962085,0.225663697652
72.779000512,0.206421107110692,0.225663697652
