identif_window;K1;B1;M1;K2;B2;M2
146;0.00124983;0.000671781;0.001019841;0.000677517;0.000279475;0.001019765
147;0.00123035;0.000658222;0.001016142;0.000670879;0.000269643;0.001016015
148;0.001211486;0.000644997;0.001012528;0.000664502;0.000260086;0.00101236
149;0.001193211;0.000632093;0.001008995;0.000658375;0.000250795;0.001008797
150;0.001175503;0.0006195;0.00100554;0.000652489;0.000241762;0.001005323
151;0.00115834;0.000607207;0.001002162;0.000646835;0.000232979;0.001001937
152;0.001141699;0.000595203;0.000998857;0.000641403;0.000224438;0.000998635
153;0.001125561;0.000583479;0.000995624;0.000636187;0.000216132;0.000995415
154;0.001109907;0.000572026;0.00099246;0.000631177;0.000208055;0.000992276
155;0.00109472;0.000560835;0.000989364;0.000626367;0.000200199;0.000989214
156;0.00107998;0.000549898;0.000986332;0.000621748;0.000192559;0.000986229
157;0.001065673;0.000539206;0.000983363;0.000617315;0.000185129;0.000983318
158;0.001051782;0.000528753;0.000980456;0.000613061;0.000177902;0.000980479
159;0.001038293;0.00051853;0.000977608;0.000608979;0.000170873;0.00097771
160;0.001025191;0.000508531;0.000974818;0.000605064;0.000164038;0.000975011
161;0.001012462;0.000498748;0.000972084;0.000601309;0.000157391;0.000972379
162;0.001000094;0.000489177;0.000969405;0.00059771;0.000150927;0.000969812
163;0.000988074;0.00047981;0.000966779;0.00059426;0.000144641;0.00096731
164;0.00097639;0.000470641;0.000964204;0.000590955;0.00013853;0.00096487
165;0.000965032;0.000461665;0.00096168;0.00058779;0.000132588;0.000962492
166;0.000953987;0.000452877;0.000959204;0.000584761;0.000126812;0.000960174
167;0.000943246;0.00044427;0.000956776;0.000581862;0.000121197;0.000957915
168;0.000932798;0.000435841;0.000954395;0.000579089;0.00011574;0.000955714
169;0.000922634;0.000427584;0.000952059;0.000576439;0.000110437;0.000953568
170;0.000912746;0.000419494;0.000949767;0.000573907;0.000105285;0.000951478
171;0.000903123;0.000411567;0.000947517;0.000571489;0.00010028;0.000949443
172;0.000893758;0.000403799;0.00094531;0.000569182;9.54E-05;0.00094746
173;0.000884643;0.000396186;0.000943143;0.000566981;9.07E-05;0.000945529
174;0.000875769;0.000388723;0.000941017;0.000564884;8.61E-05;0.000943649
175;0.000867129;0.000381407;0.000938929;0.000562887;8.17E-05;0.000941819
176;0.000858717;0.000374234;0.000936879;0.000560986;7.73E-05;0.000940038
177;0.000850525;0.000367201;0.000934866;0.000559179;7.32E-05;0.000938304
178;0.000842546;0.000360303;0.000932889;0.000557463;6.91E-05;0.000936619
179;0.000834775;0.000353538;0.000930948;0.000555834;6.51E-05;0.000934979
180;0.000827204;0.000346902;0.000929041;0.000554289;6.13E-05;0.000933384
181;0.000819829;0.000340392;0.000927168;0.000552826;5.76E-05;0.000931834
182;0.000812643;0.000334005;0.000925328;0.000551442;5.40E-05;0.000930328
183;0.000805641;0.000327739;0.000923521;0.000550135;5.06E-05;0.000928865
184;0.000798817;0.00032159;0.000921744;0.000548901;4.72E-05;0.000927443
185;0.000792167;0.000315556;0.000919999;0.000547738;4.39E-05;0.000926063
186;0.000785686;0.000309634;0.000918284;0.000546644;4.08E-05;0.000924724
187;0.000779368;0.000303822;0.000916598;0.000545616;3.77E-05;0.000923424
188;0.00077321;0.000298116;0.000914942;0.000544653;3.48E-05;0.000922163
189;0.000767207;0.000292516;0.000913314;0.000543751;3.19E-05;0.000920941
190;0.000761354;0.000287017;0.000911713;0.000542909;2.92E-05;0.000919756
191;0.000755648;0.000281619;0.00091014;0.000542124;2.65E-05;0.000918607
192;0.000750085;0.000276319;0.000908593;0.000541394;2.39E-05;0.000917495
193;0.00074466;0.000271115;0.000907073;0.000540718;2.14E-05;0.000916419
194;0.000739371;0.000266004;0.000905578;0.000540093;1.91E-05;0.000915377
195;0.000734213;0.000260985;0.000904108;0.000539517;1.68E-05;0.000914369
196;0.000729182;0.000256057;0.000902663;0.000538988;1.45E-05;0.000913395
197;0.000724277;0.000251216;0.000901242;0.000538505;1.24E-05;0.000912453
198;0.000719493;0.000246462;0.000899844;0.000538066;1.03E-05;0.000911544
199;0.000714827;0.000241792;0.00089847;0.000537669;8.36E-06;0.000910666
200;0.000710277;0.000237205;0.000897119;0.000537311;6.46E-06;0.000909819
201;0.000705839;0.0002327;0.00089579;0.000536993;4.64E-06;0.000909002
202;0.000701511;0.000228274;0.000894483;0.000536711;2.88E-06;0.000908215
203;0.000697289;0.000223926;0.000893197;0.000536464;1.20E-06;0.000907457
204;0.000693171;0.000219654;0.000891933;0.00053625;4.12E-07;0.000906727
205;0.000689155;0.000215458;0.000890689;0.000536069;1.96E-06;0.000906024
206;0.000685238;0.000211335;0.000889466;0.000535918;3.43E-06;0.000905349
207;0.000681418;0.000207285;0.000888263;0.000535796;4.85E-06;0.0009047
208;0.000677692;0.000203306;0.00088708;0.000535702;6.20E-06;0.000904077
