time,force,filtered,perturbation
23.694056512,0.110190593357693,-0.103333806612031,NaN
23.695056512,0.0689759928042257,-0.14548255807147,NaN
23.696056512,0.017732694951649,-0.186052735547058,NaN
23.697056512,-0.081108498515461,-0.224503768686556,NaN
23.698056512,-0.107677984395705,-0.261194136260043,NaN
23.699056512,-0.128758529067185,-0.295684489239765,NaN
23.700056512,-0.178035995380998,-0.328368391339426,NaN
23.701056512,-0.160194793107766,-0.359239596885976,NaN
23.702056512,-0.175987702253026,-0.387748148402548,NaN
23.703056512,-0.239577766444655,-0.414641439756089,NaN
23.704056512,-0.328484101513565,-0.439669708962446,NaN
23.705056512,-0.33948598771819,-0.462477259129239,NaN
23.706056512,-0.296382500982814,-0.482894194136875,NaN
23.707056512,-0.351612623688656,-0.501935735735982,NaN
23.708056512,-0.347500916151722,-0.518595976678067,NaN
23.709056512,-0.339806226134876,-0.533134064393099,NaN
23.710056512,-0.32271648270654,-0.545594552302317,NaN
23.711056512,-0.357983805861004,-0.556289986958706,NaN
23.712056512,-0.382188822953883,-0.564780947444007,NaN
23.713056512,-0.437168891858665,-0.571548688083797,NaN
23.714056512,-0.42056841266604,-0.576102152058154,NaN
23.715056512,-0.425024504103622,-0.578727285466503,NaN
23.716056512,-0.360909933473039,-0.579223606511185,NaN
23.717056512,-0.370264737290358,-0.577872365210361,NaN
23.718056512,-0.322306269613192,-0.574650194602568,NaN
23.719056512,-0.418660750856725,-0.570014613527315,NaN
23.720056512,-0.386222541042898,-0.563057629593807,NaN
23.721056512,-0.386922751010034,-0.554511648944607,NaN
23.722056512,-0.408417123845856,-0.543876502728989,NaN
23.723056512,-0.406838358012812,-0.531705294897151,NaN
23.724056512,-0.296135893152322,-0.517654293696433,NaN
23.725056512,-0.331699393271584,-0.502278329495448,NaN
23.726056512,-0.291126775352403,-0.48496890970285,NaN
23.727056512,-0.25706505664786,-0.466385103600253,NaN
23.728056512,-0.243442293223597,-0.445801845825454,NaN
23.729056512,-0.241406488642049,-0.424151595291583,NaN
23.730056512,-0.22920008595565,-0.40131933950379,NaN
23.731056512,-0.251314033082426,-0.376975694111671,NaN
