idx_id_wdw_csv,idx_interp_spl_csv,K_med_err_csv
238,203,0.2031276
241,203,0.2031276
244,203,0.2031276
247,203,0.2031276
250,203,0.2031276
253,203,0.2031276
256,203,0.2031276
259,203,0.2031276
262,203,0.2031276
265,203,0.2031276
268,203,0.2031276
271,203,0.2031276
274,203,0.2031276
277,203,0.2031276
280,203,0.2031276
283,203,0.2031276
286,203,0.2031276
289,203,0.2031276
292,203,0.2031276
295,203,0.2031276
298,203,0.2031276
100,206,0.1860417
103,206,0.2922467
106,206,0.2497677
109,206,0.3149955
112,206,0.2876201
115,206,0.242281
118,206,0.2327411
121,206,0.2665772
124,206,0.2273294
127,206,0.2154265
130,206,0.1949452
133,206,0.2240101
136,206,0.2266301
139,206,0.2132642
142,206,0.1696321
145,206,0.1450185
148,206,0.1406854
151,206,0.1963514
154,206,0.1693214
157,206,0.1450821
160,206,0.1705888
163,206,0.1655985
166,206,0.1522374
169,206,0.1587959
172,206,0.1660671
175,206,0.1311405
178,206,0.1430319
181,206,0.1371496
184,206,0.1475376
187,206,0.145313
190,206,0.1496604
193,206,0.1421933
196,206,0.1543999
199,206,0.1269952
202,206,0.1380487
205,206,0.117745
208,206,0.1176165
211,206,0.1176165
214,206,0.1176165
217,206,0.1176165
220,206,0.1176165
223,206,0.1176165
226,206,0.1176165
229,206,0.1176165
232,206,0.1176165
235,206,0.1176165
238,206,0.1176165
241,206,0.1176165
244,206,0.1176165
247,206,0.1176165
250,206,0.1176165
253,206,0.1176165
256,206,0.1176165
259,206,0.1176165
262,206,0.1176165
265,206,0.1176165
268,206,0.1176165
271,206,0.1176165
274,206,0.1176165
277,206,0.1176165
280,206,0.1176165
283,206,0.1176165
286,206,0.1176165
289,206,0.1176165
292,206,0.1176165
295,206,0.1176165
298,206,0.1176165
100,209,0.2422344
103,209,0.2212794
106,209,0.2513603
109,209,0.2453513
112,209,0.2040703
115,209,0.1897391
118,209,0.1970704
121,209,0.1760361
124,209,0.1547741
127,209,0.1371107
130,209,0.1318174
133,209,0.1519514
136,209,0.1516096
139,209,0.1287542
142,209,0.1030822
145,209,0.08145872
148,209,0.1004426
151,209,0.1036475
154,209,0.1051794
157,209,0.1259956
160,209,0.1263531
163,209,0.1098412
166,209,0.09427349
169,209,0.09663184
172,209,0.09514629
175,209,0.09581757
178,209,0.1037472
181,209,0.06888275
184,209,0.07964445
187,209,0.06862499
190,209,0.09708459
193,209,0.09485615
196,209,0.1036591
199,209,0.1497449
202,209,0.14872
205,209,0.1141875
208,209,0.1094567
211,209,0.1081432
214,209,0.1081432
217,209,0.1081432
220,209,0.1081432
223,209,0.1081432
226,209,0.1081432
229,209,0.1081432
232,209,0.1081432
235,209,0.1081432
238,209,0.1081432
241,209,0.1081432
244,209,0.1081432
247,209,0.1081432
250,209,0.1081432
253,209,0.1081432
256,209,0.1081432
259,209,0.1081432
262,209,0.1081432
265,209,0.1081432
268,209,0.1081432
271,209,0.1081432
274,209,0.1081432
277,209,0.1081432
280,209,0.1081432
283,209,0.1081432
286,209,0.1081432
289,209,0.1081432
292,209,0.1081432
295,209,0.1081432
298,209,0.1081432
100,212,0.1904381
103,212,0.2156747
106,212,0.187015
109,212,0.2086328
112,212,0.1832813
115,212,0.1535683
118,212,0.137374
121,212,0.1383726
124,212,0.1263273
127,212,0.1225355
130,212,0.1131363
133,212,0.1186104
136,212,0.1008803
139,212,0.07363543
142,212,0.05466112
145,212,0.03099333
148,212,0.03520508
151,212,0.06911894
154,212,0.05907211
157,212,0.07259881
160,212,0.07438038
163,212,0.04607522
166,212,0.07760718
169,212,0.0854321
172,212,0.08624366
175,212,0.06799872
178,212,0.0790657
181,212,0.05374494
184,212,0.05448608
187,212,0.04891096
190,212,0.05934514
193,212,0.04320068
196,212,0.08643854
199,212,0.1146524
202,212,0.1151919
205,212,0.1136147
208,212,0.1116284
211,212,0.1082174
214,212,0.1043785
217,212,0.1043785
220,212,0.1043785
223,212,0.1043785
226,212,0.1043785
229,212,0.1043785
232,212,0.1043785
235,212,0.1043785
238,212,0.1043785
