time,force,filtered
148.77049024,4.98729547518291,4.85255736836559
148.77149024,4.99380436396222,4.8590663772096
148.77249024,4.9968622480163,4.86668571119989
148.77349024,5.00148988929719,4.87470404413013
148.77449024,5.09806462667038,4.88440271256638
148.77549024,5.10955414410614,4.89484985304283
148.77649024,5.10385659714269,4.90608802789835
148.77749024,5.08570974691415,4.91813759467202
148.77849024,5.0822727691904,4.93139283732154
148.77949024,5.12436530909723,4.94555126396838
148.78049024,5.0778980619527,4.96016068040379
148.78149024,5.14521147439007,4.97613413841266
148.78249024,5.13454234241086,4.99269589448852
148.78349024,5.16379090484625,5.01063835351004
148.78449024,5.15870446511423,5.02869633136282
148.78549024,5.1129553718265,5.04755657434912
148.78649024,5.07909280684035,5.06709860228185
148.78749024,5.09625186433376,5.08759567711684
148.78849024,5.02221699772163,5.10845232086153
148.78949024,5.11168550474207,5.13047235906313
148.79049024,5.09695829307782,5.15306941843458
148.79149024,5.07933057706856,5.17608133374994
148.79249024,5.19970435099231,5.20004305833809
148.79349024,5.16617964867952,5.22389876284764
148.79449024,5.23102754610921,5.24860386229966
148.79549024,5.1340074024722,5.27328914746908
148.79649024,5.37889143115372,5.29983752700688
148.79749024,5.38423060032665,5.32613170920085
148.79849024,5.46698463899109,5.35287762850481
148.79949024,5.5254040987768,5.3799190333247
148.80049024,5.59608108281468,5.40715668052952
148.80149024,5.54874435981505,5.43427364131315
148.80249024,5.60998157580618,5.46231221376479
148.80349024,5.65905029864512,5.49050348628078
148.80449024,5.7288675168112,5.51878980713457
148.80549024,5.64471744121406,5.54656114460717
148.80649024,5.62621705124956,5.57478924101195
148.80749024,5.64263761139261,5.60270849493537
148.80849024,5.59623926109002,5.630741084665
148.80949024,5.60893844055048,5.65884089796495
148.81049024,5.71242785651642,5.68751165209712
148.81149024,5.66856516945701,5.71510334305774
148.81249024,5.64507576113854,5.74242080870928
148.81349024,5.70155442713549,5.76986704370739
148.81449024,5.72859288520957,5.79694998662834
148.81549024,5.72013651739906,5.82387823844683
148.81649024,5.75116587605871,5.85060734839058
148.81749024,5.81140541749014,5.87690112181243
148.81849024,5.84540202699303,5.9029573383759
148.81949024,5.88467266098622,5.92835135218818
148.82049024,5.98125037420444,5.95343411052347
148.82149024,5.97563262953184,5.97772506636647
148.82249024,5.98723829350388,6.00160889921047
148.82349024,5.97932291277085,6.02490921360805
148.82449024,6.05469214121389,6.0476826797365
148.82549024,6.09461098841237,6.06969917386552
148.82649024,6.0026832898178,6.09050502759579
148.82749024,6.02392155297356,6.11094161362465
148.82849024,6.03112845430705,6.13057616006947
148.82949024,6.09869324432178,6.14962131700473
148.83049024,6.10122058155265,6.16793814093865
148.83149024,6.14856897687964,6.18496171736981
148.83249024,6.15995659742172,6.20119739897053
148.83349024,6.18728009112305,6.21600218215641
148.83449024,6.17472063231156,6.23039808143423
148.83549024,6.21763508573307,6.24393095848228
148.83649024,6.11824923588967,6.25610965910535
148.83749024,6.21439183460366,6.26790610785102
148.83849024,6.35969464105134,6.2787063760278
148.83949024,6.31731141207932,6.28792819921622
148.84049024,6.31463252426664,6.29616768391822
148.84149024,6.26548948765055,6.30323012149551
148.84249024,6.28027836129301,6.30944579810917
148.84349024,6.31134222108209,6.31477943592754
148.84449024,6.32286378344878,6.31892570175973
148.84549024,6.39064369993714,6.32197223753587
148.84649024,6.29047927119069,6.32329975499439
148.84749024,6.30028616352985,6.32377784430527
148.84849024,6.28646949634996,6.3231974112807
148.84949024,6.32579239921049,6.32170848844396
148.85049024,6.27531722465304,6.31858689492015
148.85149024,6.24255707641361,6.31423145833584
148.85249024,6.18607592199848,6.30893911321682
148.85349024,6.19025393033541,6.30217043597289
148.85449024,6.21192214595142,6.29449792988084
148.85549024,6.14333024637764,6.28539908267301
148.85649024,6.15330048699891,6.27557378741597
148.85749024,6.14314429645546,6.26446703525416
148.85849024,6.17907131511431,6.25241419790357
148.85949024,6.16174969589483,6.23895936217892
148.86049024,6.13236122101747,6.22429019367261
148.86149024,6.1438239152592,6.20871642055681
148.86249024,6.1115335741178,6.19217929066467
148.86349024,6.17330809313572,6.17492212422928
148.86449024,6.17923686987256,6.15623176310448
148.86549024,6.11886312752525,6.13625738398172
148.86649024,6.07074783142357,6.11511458777886
148.86749024,5.9890825099562,6.09288505408118
148.86849024,5.93334436967479,6.06997856303002
148.86949024,5.95112857280253,6.04617567638648
148.87049024,5.88883900939075,6.02121467686913
148.87149024,5.89950770275891,5.9956114569805
148.87249024,5.86701753703911,5.96870917405487
148.87349024,5.91029981662917,5.94094573716482
148.87449024,5.89504628827858,5.91235316909759
148.87549024,5.77445292781146,5.88269999959917
148.87649024,5.82211727758677,5.85287394434969
148.87749024,5.88352100356438,5.8222664959301
148.87849024,5.86402016996843,5.79067796204946
148.87949024,5.86945430868464,5.75841520764
148.88049024,5.79687290899468,5.72502349159419
148.88149024,5.69582518190983,5.6909939760437
148.88249024,5.6840035972512,5.65683408840614
148.88349024,5.7063287189919,5.62224019437225
148.88449024,5.72834094305337,5.5869852800637
148.88549024,5.66247840660984,5.55058653319878
148.88649024,5.5798280594592,5.51375525269512
148.88749024,5.52736116015023,5.4764532736895
148.88849024,5.49552641393141,5.43856033022522
148.88949024,5.4857604634735,5.40065625338975
148.89049024,5.39765447730149,5.36223216047029
148.89149024,5.42598576991903,5.32336123022153
148.89249024,5.41971876106712,5.28426519697873
148.89349024,5.40407851277428,5.24458237241431
148.89449024,5.34630186543562,5.20458139489853
148.89549024,5.23602560009859,5.16422016968618
148.89649024,5.17451095901982,5.1239951597156
148.89749024,5.16396099292324,5.08385557472283
148.89849024,5.12668376326459,5.04349953881692
148.89949024,5.1033748255757,5.00297352588714
148.90049024,5.05730198044752,4.96191331255794
148.90149024,4.98023430281391,4.92103404091146
148.90249024,4.99631033995716,4.88073638195401
148.90349024,4.86730472104059,4.83995441503406
148.90449024,4.77630952313207,4.79910972855808
148.90549024,4.7889394416231,4.75860431579148
148.90649024,4.77373138897161,4.718195609083
148.90749024,4.69819810304757,4.67770927241036
148.90849024,4.67962760808982,4.63754931960164
148.90949024,4.59257336439349,4.5972995233406
148.91049024,4.54986522103356,4.55772146866504
148.91149024,4.50216169050005,4.51792329177754
148.91249024,4.45501072671072,4.47852095842979
148.91349024,4.39496643100852,4.43909825039381
148.91449024,4.38464148650358,4.40049903774604
148.91549024,4.34505487522295,4.36203527038479
148.91649024,4.22874826925811,4.32379406052686
148.91749024,4.25208631932527,4.28651687048542
148.91849024,4.22459276821934,4.24942788054472
148.91949024,4.16726539692258,4.21250167757642
148.92049024,4.10852673078888,4.17573488545492
148.92149024,4.07012631777967,4.14026077464692
148.92249024,4.06397603949981,4.10498589248315
148.92349024,4.05104072977017,4.07037564884207
148.92449024,4.10031431368031,4.03655965569488
148.92549024,4.0231448447154,4.00259694324363
148.92649024,3.92800545763212,3.96912784252899
148.92749024,3.88278674738703,3.93622000424861
148.92849024,3.89780685052648,3.90435164999974
148.92949024,3.90357524426779,3.87284452239125
148.93049024,3.87722912468268,3.84209343754799
148.93149024,3.88091014093825,3.81195387849028
148.93249024,3.79767959096391,3.78219715654761
148.93349024,3.70824488183555,3.75268873823979
148.93449024,3.72607476082173,3.72438486762908
148.93549024,3.65430175111641,3.69647425997573
148.93649024,3.73222594888856,3.66976197743874
148.93749024,3.57899710746936,3.64314881282917
148.93849024,3.53774611251198,3.61764164533765
148.93949024,3.57832770391538,3.59282546940367
148.94049024,3.53977384249872,3.56831699004327
148.94149024,3.56582625491865,3.54499711789771
148.94249024,3.55174676989749,3.5221736281425
148.94349024,3.54796086893697,3.50018422720499
148.94449024,3.55685855998645,3.47901433386443
148.94549024,3.49944418142885,3.45838672988899
148.94649024,3.49602001068081,3.4383908942239
148.94749024,3.46097162524041,3.41888307390353
148.94849024,3.47918528748187,3.40050121651524
148.94949024,3.41532271345128,3.38232000851938
148.95049024,3.36044416460983,3.36508881281849
148.95149024,3.36784121391512,3.34863236960671
148.95249024,3.36770378215109,3.33269028177394
148.95349024,3.34127075150693,3.31727969311587
148.95449024,3.2852724292633,3.30243815153598
148.95549024,3.31379673411835,3.28856532680879
148.95649024,3.25851016067654,3.27527124785672
148.95749024,3.28236999959165,3.26296974225613
148.95849024,3.31733874070701,3.2513195169958
148.95949024,3.31974531577858,3.24005327091989
148.96049024,3.31735334831558,3.22921980296558
148.96149024,3.27192270626708,3.21912920182197
148.96249024,3.23417113279396,3.2096670534077
148.96349024,3.21074247145483,3.20089938802275
148.96449024,3.20729663444849,3.19270609410165
148.96549024,3.28931198525649,3.18535040717807
148.96649024,3.29027400150332,3.17841425767791
148.96749024,3.23639728788388,3.17148451562046
148.96849024,3.1379380899129,3.16510119773372
148.96949024,3.26958569033721,3.16022532688088
148.97049024,3.18524185051237,3.15511581334383
148.97149024,3.22747992524376,3.15063998109023
148.97249024,3.3094092080818,3.14654338976055
148.97349024,3.16529971594001,3.14246436240401
148.97449024,3.17375476451469,3.13902418788108
148.97549024,3.14104264640539,3.13622120341122
148.97649024,3.22578227247312,3.13430720423865
148.97749024,3.20369352999815,3.13237418813306
148.97849024,3.12909512187343,3.13067493162476
148.97949024,3.11215705698789,3.12939661133012
148.98049024,3.15641262354186,3.12851412091447
148.98149024,3.14440322031982,3.1278277846178
148.98249024,3.14207129453132,3.12757128420074
148.98349024,3.1149198052006,3.12772115233896
148.98449024,3.0838561279058,3.12817367346243
148.98549024,2.95609554476342,3.12832151259888
148.98649024,2.98888468164474,3.12914013778925
148.98749024,3.04770525100371,3.13018411485482
148.98849024,3.15483835805143,3.13158980563392
148.98949024,3.08310472934952,3.13279753486834
148.99049024,3.1040500415535,3.13439990665508
148.99149024,3.1303749072132,3.13584963571579
148.99249024,3.15847064735648,3.13771043942038
148.99349024,3.21705645393062,3.13942457003973
148.99449024,3.32568810274387,3.14144304811138
148.99549024,3.18509214601454,3.14283196228988
148.99649024,3.17139999868168,3.14467442162717
148.99749024,3.11007429334114,3.14650505229896
148.99849024,3.16057461323014,3.14851855207228
148.99949024,3.20064560608202,3.15055836694184
149.00049024,3.21135448556534,3.15231009340765
149.00149024,3.21021767818026,3.15407792699295
149.00249024,3.18433783149268,3.15582086618349
149.00349024,3.14949103810925,3.1573878532879
149.00449024,3.14847229189987,3.15890607625244
