time,j4_torque,j4_torque_cmd
139.851,0.492456,0.499698
139.852,0.492456,0.499698
139.853,0.492456,0.499698
139.854,0.492456,0.499698
139.855,0.492456,0.499698
139.856,0.492456,0.499698
139.857,0.492456,0.499698
139.858,0.492456,0.499698
139.859,0.492456,0.499698
139.86,0.492456,0.499698
139.861,0.492456,0.499698
139.862,0.492456,0.499698
139.863,0.492456,0.499698
139.864,0.492456,0.499698
139.865,0.492456,0.499698
139.866,0.491791803593539,0.499698
139.867,0.47073,0.499698
139.868,0.47073,0.499698
139.869,0.47073,0.499698
139.87,0.47073,0.499698
139.871,0.47073,0.499698
139.872,0.47073,0.499698
139.873,0.47073,0.499698
139.874,0.47073,0.499698
139.875,0.470762446236362,0.499698
139.876,0.485214,0.499698
139.877,0.485214,0.499698
139.878,0.485214,0.499698
139.879,0.485214,0.499698
139.88,0.485214,0.499698
139.881,0.485214,0.499698
139.882,0.485214,0.499698
139.883,0.484257560945019,0.499698
139.884,0.47073,0.499698
139.885,0.47073,0.499698
139.886,0.47073,0.499698
139.887,0.47073,0.499698
139.888,0.47073,0.499698
139.889,0.47073,0.499698
139.89,0.47073,0.499698
139.891,0.47073,0.499698
139.892,0.47073,0.499698
139.893,0.47073,0.499698
139.894,0.47073,0.499698
139.895,0.47073,0.499698
139.896,0.47073,0.499698
139.897,0.47073,0.499698
139.898,0.47073,0.499698
139.899,0.47073,0.499698
139.9,0.47073,0.499698
139.901,0.474115899270208,0.499698
139.902,0.474351,0.499698
139.903,0.474351,0.499698
139.904,0.474351,0.499698
139.905,0.474351,0.499698
139.906,0.474351,0.499698
139.907,0.474351,0.499698
139.908,0.474351,0.499698
139.909,0.47073,0.499698
139.91,0.47073,0.499698
139.911,0.47073,0.499698
139.912,0.47073,0.499698
139.913,0.47073,0.499698
139.914,0.47073,0.499698
139.915,0.47073,0.499698
139.916,0.47073,0.499698
139.917,0.47073,0.499698
139.918,0.477972,0.499698
139.919,0.477972,0.499698
139.92,0.477972,0.499698
139.921,0.477972,0.499698
139.922,0.477972,0.499698
139.923,0.477972,0.499698
139.924,0.477972,0.499698
139.925,0.477972,0.499698
139.926,0.463488,0.499698
139.927,0.463488,0.499698
139.928,0.463488,0.499698
139.929,0.463488,0.499698
139.93,0.463488,0.499698
139.931,0.463488,0.499698
139.932,0.463488,0.499698
139.933,0.463488,0.499698
139.934,0.463582112454891,0.499698
139.935,0.47073,0.499698
139.936,0.47073,0.499698
139.937,0.47073,0.499698
139.938,0.47073,0.499698
139.939,0.47073,0.499698
139.94,0.47073,0.499698
139.941,0.47073,0.499698
139.942,0.47041856383243,0.499698
139.943,0.463488,0.499698
139.944,0.463488,0.499698
139.945,0.463488,0.499698
139.946,0.463488,0.499698
