%time,field.poisonStamp.originator,field.poisonStamp.description,field.poisonStamp.qos,field.torques0.timeStamp,field.torques0.joint_uri,field.torques0.unit,field.torques0.value
1583862915393052484,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915394050096,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915395037227,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915396043090,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915397043651,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915398026545,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915428324209,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915429120465,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915430100267,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915431055323,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915432062544,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915433072764,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915434061340,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915435066438,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915436075626,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915437062221,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915438055396,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915467838114,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915468769096,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915469664195,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915470757106,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915471631327,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915472613121,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915473598154,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915474628201,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915475654426,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915476627297,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915477622146,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915478659789,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915508643153,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915509470785,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915510362260,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915511380482,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915512369972,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915513381203,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915514403890,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915515401024,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915516354864,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915517364444,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915518347953,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915548276768,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915549180616,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915550029488,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915551032577,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915552011869,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915553025263,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915554031177,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915555001825,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915556017154,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915557010861,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915557995426,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915587095741,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915587941016,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915588877006,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915589866577,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915590864390,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915591864078,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915592861537,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915593887950,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915594833675,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915595871645,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915596849634,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
