%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
1583862839098578720,42894,91848475000000,world,-0.139177232981,0.184877544641,0.580225586891,0.0190429799259,0.0240654237568,-0.628636240959,-0.77709376812
1583862839114958137,42895,91848483333000,world,-0.139261290431,0.184837475419,0.580268204212,0.0191377326846,0.0242487918586,-0.629040420055,-0.776758551598
1583862839114966262,42896,91848491666000,world,-0.139311909676,0.184888616204,0.5802770257,0.0190175659955,0.0240784138441,-0.62942636013,-0.776454210281
1583862839132349878,42897,91848500000000,world,-0.139364421368,0.184938147664,0.580278456211,0.0190049838275,0.0242010913789,-0.629842221737,-0.776113390923
1583862839132355531,42898,91848508333000,world,-0.13937266171,0.184766322374,0.580482721329,0.0182594191283,0.0240789651871,-0.630686283112,-0.775449335575
1583862839140539774,42899,91848516666000,world,-0.139431715012,0.184796795249,0.58045989275,0.0182723887265,0.0239979214966,-0.631119310856,-0.775099098682
1583862839148760637,42900,91848524999000,world,-0.139499440789,0.184850364923,0.580484330654,0.0182699374855,0.0239565856755,-0.63146340847,-0.774820208549
1583862839165088983,42901,91848533333000,world,-0.139542520046,0.184986189008,0.580425560474,0.0184257794172,0.0238973926753,-0.631740868092,-0.774592161179
1583862839173282163,42902,91848541666000,world,-0.139601245522,0.185079723597,0.580453276634,0.0183640010655,0.023915046826,-0.631966710091,-0.774408876896
1583862839181468553,42903,91848550000000,world,-0.139653652906,0.185168340802,0.580428540707,0.0183901321143,0.0240595694631,-0.632260918617,-0.774163544178
1583862839190689288,42904,91848558333000,world,-0.13985042274,0.184288218617,0.582469046116,0.0153435999528,0.0214587450027,-0.632920563221,-0.773767232895
1583862839190694854,42905,91848566666000,world,-0.139921694994,0.184385403991,0.582479119301,0.0154421441257,0.0214311238378,-0.633145093918,-0.773582339287
1583862839207065253,42906,91848574999000,world,-0.139973104,0.184522122145,0.582471191883,0.0153887299821,0.0214760992676,-0.633401811123,-0.773371934891
1583862839215240144,42907,91848583333000,world,-0.140028074384,0.184658482671,0.582459628582,0.0154022295028,0.0215109977871,-0.633663117886,-0.773156702518
1583862839223398652,42908,91848591666000,world,-0.140166193247,0.185103684664,0.582021653652,0.0165865626186,0.0220318809152,-0.633418500423,-0.773317873478
1583862839231769082,42909,91848600000000,world,-0.140252202749,0.185233145952,0.582016944885,0.0167746860534,0.0220717340708,-0.633595347404,-0.773167788982
1583862839239947157,42910,91848608333000,world,-0.140239015222,0.185052901506,0.582474052906,0.0153634240851,0.0214939750731,-0.634224355221,-0.772697627544
1583862839248149144,42911,91848616666000,world,-0.140296310186,0.185219436884,0.582521855831,0.0152478236705,0.0214463341981,-0.634430289268,-0.772532045841
1583862839257321909,42912,91848625000000,world,-0.140243753791,0.186330407858,0.580476284027,0.0183274727315,0.0240875631571,-0.634315669537,-0.772481441498
1583862839257329100,42913,91848633333000,world,-0.140442624688,0.185515314341,0.582582473755,0.0151205426082,0.0213952176273,-0.63497710228,-0.772086620331
1583862839265556110,42914,91848641666000,world,-0.140574142337,0.186062693596,0.582057118416,0.0164986867458,0.0219418052584,-0.634683012962,-0.77228474617
1583862839273729851,42915,91848649999000,world,-0.140620037913,0.186285153031,0.582043528557,0.016671128571,0.0218398906291,-0.634823381901,-0.772168695927
1583862839290090172,42916,91848658333000,world,-0.140691429377,0.186471924186,0.582064628601,0.0166924688965,0.0219040252268,-0.63496696949,-0.772048294544
1583862839290096247,42917,91848666666000,world,-0.140593498945,0.18745303154,0.580250918865,0.019118020311,0.0240637771785,-0.6349157691,-0.771969974041
1583862839306467715,42918,91848675000000,world,-0.140671923757,0.187654465437,0.580215632915,0.0194070860744,0.02407300286,-0.635053038597,-0.771849393845
1583862839315675207,42919,91848683333000,world,-0.140729367733,0.187868520617,0.580198585987,0.0194434337318,0.0241462774575,-0.635130703449,-0.771782279015
1583862839315701932,42920,91848691666000,world,-0.140781462193,0.188089668751,0.580194056034,0.0194688290358,0.0242776088417,-0.635288059711,-0.771648108959
1583862839323919001,42921,91848699999000,world,-0.140539199114,0.187385350466,0.581858336926,0.0148155130446,0.0210441406816,-0.636424005032,-0.770910024643
1583862839332110609,42922,91848708333000,world,-0.140876635909,0.188253983855,0.580447912216,0.0186485759914,0.0245016217232,-0.635986149311,-0.771085977554
1583862839348454164,42923,91848716666000,world,-0.141059562564,0.187559857965,0.582513749599,0.0155070079491,0.0217718947679,-0.636370718479,-0.770920157433
1583862839356617155,42924,91848725000000,world,-0.141173169017,0.188150674105,0.581983268261,0.0168568249792,0.0224254988134,-0.635994911194,-0.771183252335
1583862839364799045,42925,91848733333000,world,-0.141239449382,0.188391178846,0.581981658936,0.017080925405,0.0224564019591,-0.636107504368,-0.771084368229
1583862839373990539,42926,91848741666000,world,-0.141294494271,0.188614919782,0.581996798515,0.0170606337488,0.0223170369864,-0.636336326599,-0.770900189877
1583862839373996602,42927,91848750000000,world,-0.141329690814,0.188866496086,0.581924557686,0.0169076807797,0.022317238152,-0.636489868164,-0.770776689053
1583862839382184704,42928,91848758333000,world,-0.141328930855,0.188777446747,0.582439720631,0.0156596936285,0.0216102469712,-0.636934936047,-0.770455539227
1583862839398551943,42929,91848766666000,world,-0.141445353627,0.18936572969,0.581980586052,0.0169749334455,0.0220033042133,-0.63659542799,-0.770697116852
1583862839398556548,42930,91848774999000,world,-0.141491621733,0.18964651227,0.581970453262,0.0168069954962,0.022002896294,-0.636647105217,-0.770658195019
1583862839414904466,42931,91848783333000,world,-0.141557395458,0.189893752337,0.581986963749,0.0167045891285,0.0221468247473,-0.636756837368,-0.770565509796
1583862839414912082,42932,91848791666000,world,-0.141601935029,0.190171316266,0.581941306591,0.0168445520103,0.0220652166754,-0.636879980564,-0.770463049412
