time,force,BW50hz,filtered,algorithm,pert,impact
223.424551168,1.63677157347841,1.58385589953503,1.63409763003593,1.56099794826283,NaN,NaN
223.425551168,1.60597004639254,1.57805732528448,1.62195907446872,1.55136559252513,NaN,NaN
223.426551168,1.53421288888062,1.57296218065958,1.6096202271254,1.54172953102163,NaN,NaN
223.427551168,1.53308173959166,1.56845446289548,1.59708352969749,1.53208799178339,NaN,NaN
223.428551168,1.57327648187939,1.56429203730746,1.58435209355254,1.52243024037975,NaN,NaN
223.429551168,1.60384728360852,1.56006940259161,1.57142823697513,1.51275440667904,NaN,NaN
223.430551168,1.55692393200806,1.55541270390013,1.55831357395914,1.50304644579848,NaN,NaN
223.431551168,1.54906218372615,1.5501168758603,1.54500957122145,1.49330698731379,NaN,NaN
223.432551168,1.52122962426637,1.54408137346375,1.53151778757876,1.48352961665936,NaN,NaN
223.433551168,1.54445893593932,1.53718008149132,1.51784011030504,1.47370009753336,NaN,NaN
223.434551168,1.55243238638044,1.52923182065556,1.50397890667108,1.46380930827182,NaN,NaN
223.435551168,1.5475899399806,1.52010040785824,1.48993692158187,1.45386262243055,NaN,NaN
223.436551168,1.50277590279342,1.5098059722891,1.47571733060562,1.44384049924631,NaN,NaN
223.437551168,1.51591380823943,1.49852866071507,1.46132406768288,1.43374770421164,NaN,NaN
223.438551168,1.48583761521463,1.48654918485837,1.44676202579696,1.42357009113111,NaN,NaN
223.439551168,1.40710452923291,1.47416950682383,1.43203677879372,1.41331311597903,NaN,NaN
223.440551168,1.42636161017985,1.46153729055168,1.41715370757279,1.40296488483537,NaN,NaN
223.441551168,1.51826078774548,1.44851147946921,1.40211713604857,1.39252914634264,NaN,NaN
223.442551168,1.4581803092535,1.43483920041192,1.38693051349221,1.3819949018192,NaN,NaN
223.443551168,1.44069757502647,1.42047167023497,1.37159735783887,1.37136373044935,NaN,NaN
223.444551168,1.36599959863146,1.40562764404615,1.35612173389057,1.36062623170601,NaN,NaN
223.445551168,1.36624704975238,1.39058982165118,1.34050800163423,1.34978647339525,NaN,NaN
223.446551168,1.36578444774068,1.37548949615243,1.32476033928297,1.33883680936178,NaN,NaN
223.447551168,1.42172199217038,1.36029325412771,1.30888269966462,1.3277823069063,NaN,NaN
223.448551168,1.35435538704507,1.34500533601973,1.29287960705584,1.3166147217059,NaN,NaN
223.449551168,1.33268779114102,1.32984749594851,1.27675708993205,1.30534417737667,NaN,NaN
223.450551168,1.25500649350245,1.31519458350974,1.26052271302559,1.29396656085824,NaN,NaN
223.451551168,1.24022426983384,1.30130442460542,1.2441848130869,1.27998761763119,NaN,NaN
223.452551168,1.25199056469762,1.28804418791828,1.22775178770089,1.26766337078283,NaN,NaN
223.453551168,1.34146473482014,1.27485187049955,1.21123202798845,1.25511812759385,NaN,NaN
223.454551168,1.30052312906065,1.26103024396356,1.19463458452813,1.24236691074077,NaN,NaN
223.455551168,1.23606045344826,1.24609749622857,1.1779699071741,1.22941338596174,NaN,NaN
223.456551168,1.22613874261445,1.22983832370531,1.16124978787748,1.21625578384423,NaN,NaN
223.457551168,1.24995166690326,1.21215532647221,1.14448672510672,1.202900313662,NaN,NaN
223.458551168,1.19743229445893,1.19303463028012,1.12769337235844,1.18934496507989,NaN,NaN
223.459551168,1.18478222636945,1.17260817176166,1.11088189504355,1.17559775031778,NaN,NaN
223.460551168,1.17185345028454,1.1511609686554,1.09406313507345,1.16165705737665,NaN,NaN
223.461551168,1.11514118849021,1.12910215981467,1.07724607659786,1.14752663210729,NaN,NaN
223.462551168,1.1012765024833,1.10691373539021,1.06043755863711,1.13320438327612,NaN,NaN
223.463551168,1.05776249314103,1.08505335619167,1.04364196176781,1.11869045394892,NaN,NaN
223.464551168,1.03688012426598,1.06384961100881,1.02686132876727,1.10397860883081,NaN,NaN
223.465551168,1.06887154337226,1.04345317943707,1.01009614026008,1.08906572189384,NaN,NaN
223.466551168,1.05045418018138,1.02392134748042,0.993346224816237,1.07394424989564,NaN,NaN
223.467551168,1.03897991164346,1.00541022617239,0.976611459984686,1.05861343322884,NaN,NaN
223.468551168,0.915579857921204,0.988261879953645,0.959892035534279,1.04306603963842,NaN,NaN
223.469551168,0.895619260967132,0.972796387543037,0.943188050945758,1.02730255623901,NaN,NaN
223.470551168,0.970525512250201,0.9589735993261,0.926499277455598,1.01131608090964,NaN,NaN
223.471551168,0.9621515364725,0.946339167029875,0.909826091979471,0.995108012817379,NaN,NaN
223.472551168,0.999195001761004,0.934322979940128,0.893170463146198,0.978675195526923,NaN,NaN
223.473551168,0.919905482273307,0.92255676643003,0.876535296851522,0.96202404661997,NaN,NaN
223.474551168,0.884046281922472,0.910940667975015,0.859922788145133,0.945153037538449,NaN,NaN
223.475551168,0.807727556173237,0.899412665252824,0.843333266495129,0.928065656660693,NaN,NaN
223.476551168,0.891988779837024,0.887615308958539,0.826764729633618,0.910757011116834,NaN,NaN
223.477551168,0.948953906821656,0.874833257500708,0.810213162408371,0.893231461615084,NaN,NaN
223.478551168,0.911354909626968,0.860338649497718,0.793673842814035,0.875479250112379,NaN,NaN
223.479551168,0.873497247460336,0.843783909790565,0.777142473122085,0.85750396276186,NaN,NaN
223.480551168,0.815300171215355,0.825271930364044,0.760614924872663,0.839301554736625,NaN,NaN
223.481551168,0.76214945617663,0.805140697623089,0.744086015087411,0.820873584672529,NaN,NaN
223.482551168,0.767865403746623,0.7836792771915,0.72754839066838,0.802215402382655,NaN,NaN
223.483551168,0.745408812659665,0.76095841786409,0.710992321465371,0.783325507045331,NaN,NaN
223.484551168,0.773838913076039,0.736858799109633,0.694406579481157,0.764196978124139,NaN,NaN
223.485551168,0.779940649678843,0.711271826570804,0.677780056547443,0.744827097299722,NaN,NaN
223.486551168,0.682985574408693,0.684351431256401,0.661103524577215,0.725209516015344,NaN,NaN
223.487551168,0.644708498541649,0.656583208143217,0.644370503134526,0.705346787164489,NaN,NaN
223.488551168,0.615371578240915,0.628605497929085,0.627576820468162,0.685238786719442,NaN,NaN
223.489551168,0.505190437696873,0.600958002730631,0.610719763794882,0.664911802598419,NaN,NaN
223.490551168,0.582466973872071,0.573864058768238,0.593797822511779,0.644346999691917,NaN,NaN
223.491551168,0.547887100338806,0.54716673321771,0.576811612388404,0.623565638462162,NaN,NaN
223.492551168,0.546580759950793,0.520510404815068,0.559765809028364,0.602577334817172,NaN,NaN
223.493551168,0.503143537937998,0.493575206005143,0.542670738306029,0.581404372271312,NaN,NaN
223.494551168,0.482912536957374,0.466181544542069,0.525542505167899,0.560074302395571,NaN,NaN
223.495551168,0.479944961687717,0.438320340527659,0.508401713788755,0.538635161868923,NaN,NaN
223.496551168,0.463786482355354,0.410224658097849,0.491270679616595,0.51708505319202,NaN,NaN
223.497551168,0.379550540004677,0.382465849480247,0.474168161931735,0.495478087727383,NaN,NaN
223.498551168,0.349072850215398,0.355921158485422,0.457101352008174,0.473824074840718,NaN,NaN
223.499551168,0.292013879952309,0.331575704772277,0.440057674714175,0.452127316804939,NaN,NaN
223.500551168,0.241574725737216,0.310272304299438,0.423003184641367,0.430360476179181,NaN,NaN
223.501551168,0.224988338271713,0.29246993738943,0.405895015742518,0.408496499582042,NaN,NaN
223.502551168,0.270822818257044,0.278089873045111,0.38870302901364,0.386514287026821,NaN,NaN
223.503551168,0.265934913122987,0.266582069888989,0.371421137680811,0.364424200664123,NaN,NaN
223.504551168,0.285499609255487,0.257172152940176,0.354057002942833,0.342245521480359,NaN,NaN
223.505551168,0.233397134014423,0.249083979055333,0.336611662219029,0.319997232134129,NaN,NaN
223.506551168,0.266905334570039,0.241618586380469,0.319069300362145,0.297675502684999,NaN,NaN
223.507551168,0.219379672867972,0.234143041337321,0.301405260914122,0.275270820455358,NaN,NaN
223.508551168,0.163122589962215,0.226021483020576,0.283601490695948,0.252774932956079,NaN,NaN
223.509551168,0.235363016484728,0.216469650193478,0.265652793953301,0.230194944695472,NaN,NaN
223.510551168,0.288650797098601,0.204545027517401,0.247560187043209,0.207546761647547,NaN,NaN
223.511551168,0.262517100131151,0.189466496480716,0.229321562287205,0.184848323520885,NaN,NaN
223.512551168,0.215268080530111,0.170990218788146,0.210929556133514,0.162121830419413,NaN,NaN
223.513551168,0.137178368769158,0.149475488250295,0.192377162211028,0.139351982374602,NaN,NaN
223.514551168,0.152738379369564,0.125671665649145,0.173664417735484,0.116559364636368,NaN,NaN
223.515551168,0.00330851834665058,0.100446108842284,0.154799206907642,0.0937883614756841,NaN,NaN
223.516551168,0.0266325858863468,0.0744906552100975,0.135790972120142,0.071043474076065,NaN,NaN
223.517551168,0.0722183713987128,0.0480854895382473,0.116642815244005,0.0483641512697407,NaN,NaN
223.518551168,0.0766713525777243,0.0211982744754051,0.0973491554111302,0.0257504880991468,NaN,NaN
223.519551168,0.0580259586487879,-0.00611380500875672,0.0779008120292181,0.00322617943601306,NaN,NaN
223.520551168,-0.0822512735899967,-0.0334227602121323,0.0582920883825647,-0.0192039906995496,NaN,NaN
223.521551168,-0.0934816151335338,-0.0600475555175609,0.0385229497231068,-0.0415069716255205,NaN,NaN
223.522551168,-0.113448162967038,-0.0853969714300764,0.0185950773055035,-0.0636664550535043,NaN,NaN
223.523551168,-0.149652566074086,-0.109184648290274,-0.00149371471539905,-0.0856495924223744,NaN,NaN
223.524551168,-0.103338283406261,-0.131429212957191,-0.0217517288910981,-0.107446671813155,NaN,NaN
223.525551168,-0.148770384769256,-0.152320793775936,-0.0421908164123733,-0.129031489075589,NaN,NaN
223.526551168,-0.147254514816232,-0.172038438400451,-0.0628219029551865,-0.150392521464833,NaN,NaN
223.527551168,-0.195887284461962,-0.190643460749496,-0.0836528290450823,-0.171495567182686,NaN,NaN
223.528551168,-0.280595078704887,-0.208135780366071,-0.104689955570406,-0.192319962373478,NaN,NaN
223.529551168,-0.228746058970013,-0.224655462339565,-0.125941362179171,-0.212826707485051,NaN,NaN
223.530551168,-0.198775282377041,-0.24059774027584,-0.147417849525416,-0.232993612470192,NaN,NaN
223.531551168,-0.218892703215568,-0.25643008849537,-0.169130230519317,-0.259175138540719,NaN,NaN
223.532551168,-0.262837513887982,-0.272417449387792,-0.191085677963103,-0.280955864212723,NaN,NaN
223.533551168,-0.345916894177501,-0.288592294270039,-0.213286908990183,-0.302722817991063,NaN,NaN
223.534551168,-0.298357687019257,-0.304970251053593,-0.235734728129678,-0.324476644814954,NaN,NaN
223.535551168,-0.342208636430971,-0.321731894936434,-0.258430994121628,-0.346221052105761,NaN,NaN
223.536551168,-0.292076934450072,-0.339192993755244,-0.281379165263095,-0.367960969171118,NaN,NaN
223.537551168,-0.3022728517948,-0.357612635782847,-0.304582441470181,-0.389702779588284,NaN,NaN
223.538551168,-0.338060917794917,-0.37695561870351,-0.328041505727256,-0.411450475519197,NaN,NaN
223.539551168,-0.3791092689594,-0.396763065925476,-0.351753726987528,-0.433205830120517,NaN,NaN
223.540551168,-0.492738540908568,-0.416263983621684,-0.375714410013074,-0.454968501776234,NaN,NaN
223.541551168,-0.446751675709707,-0.434688083053302,-0.399919161246564,-0.476740117528858,NaN,NaN
223.542551168,-0.519285828397398,-0.451557896030582,-0.424365532436605,-0.498524058700379,NaN,NaN
223.543551168,-0.490241343912654,-0.466808120293476,-0.449052833278624,-0.520326861416014,NaN,NaN
223.544551168,-0.482739650387969,-0.480767892590636,-0.473980673262699,-0.54215517506022,NaN,NaN
223.545551168,-0.493628443462602,-0.494037606235744,-0.499147546001081,-0.56401624575401,NaN,NaN
223.546551168,-0.482140942099328,-0.507309836445168,-0.524550466339872,-0.585915514069339,NaN,NaN
223.547551168,-0.501522792821198,-0.521219574047158,-0.550185666623411,-0.607858890740266,NaN,NaN
223.548551168,-0.519208713272375,-0.536246688047353,-0.576049504868326,-0.629852249904147,NaN,NaN
223.549551168,-0.558229462804942,-0.552693662541526,-0.602139051664703,-0.651903559249885,NaN,NaN
223.550551168,-0.60476390032799,-0.570768559770194,-0.628452324042182,-0.674021309660089,NaN,NaN
223.551551168,-0.566978272519332,-0.590715695344396,-0.654988175554698,-0.696216053997437,NaN,NaN
223.552551168,-0.546346146265933,-0.612809379517474,-0.681745963960421,-0.718498471886612,NaN,NaN
223.553551168,-0.607099621159908,-0.637137150964317,-0.708725246513167,-0.740881074783117,NaN,NaN
223.554551168,-0.592917815769045,-0.663377294522921,-0.735925502511913,-0.763375195187099,NaN,NaN
223.555551168,-0.736317003075307,-0.69076375402721,-0.763345654471953,-0.785993397973892,NaN,NaN
223.556551168,-0.778779467088242,-0.718299727244946,-0.790983871280668,-0.80874645842015,NaN,NaN
223.557551168,-0.773931743569287,-0.745134507804085,-0.818838256056931,-0.831646494275955,NaN,NaN
223.558551168,-0.765604534420959,-0.770785296869375,-0.846907644580492,-0.854705622367552,NaN,NaN
223.559551168,-0.743765440758571,-0.79501363864505,-0.875191442619513,-0.877937999328105,NaN,NaN
223.560551168,-0.846850333020876,-0.817561493963406,-0.903688618260122,-0.901356092769244,NaN,NaN
223.561551168,-0.88091779157029,-0.83808308509333,-0.932396879092359,-0.924972361353962,NaN,NaN
223.562551168,-0.93149368605573,-0.856366059865163,-0.961312895633859,-0.948797134816923,NaN,NaN
223.563551168,-0.886913788426107,-0.872599388988933,-0.990433367897803,-0.972842188733246,NaN,NaN
223.564551168,-0.869675725611396,-0.887406831393222,-1.01975586629599,-0.997118668333048,NaN,NaN
223.565551168,-0.930061061006893,-0.901655500037045,-1.04927876397487,-1.02163985785162,NaN,NaN
