1428.432670238,-0.184841,-0.515037,-0.57824,,-0.0240466,0.00287979,-0,-0,0.00299055,-0,-0,0.0410763,0,0.00335,2.16394,-0,0.003621,0.00316372,-0,-0,0,0,0,0,0,0
1428.433732941,-0.184841,-0.515037,-0.57824,,-0.0240466,0.00287979,-0,-0,0.00299055,-0,-0,0.0410763,0,0.00335,2.16394,-0,0.003621,0.00316372,-0,-0,0,0,0,0,0,0
1428.434795573,-0.184841,-0.515037,-0.57824,,-0.0024362,0.00287979,-0,-0,0.00299055,-0,-0,0.0410763,0,0.00335,2.16392,-0,-0,0.00316372,-0,-0,0,0,0,0,0,0
1428.435858104,-0.184841,-0.515037,-0.57824,,-0.0024362,0.00287979,-0,-0,0.00299055,-0,0.005226,0.0410763,0,0.00335,2.16392,-0.0221239,0.007242,0.00316372,-0,-0,0,0,0,0,0,0
1428.436920709,-0.184841,-0.515037,-0.57824,,0.00868967,0.00287979,-0,-0,0.00299055,-0,-0,0.0410763,0,0,2.16392,-0,-0,0.00316372,-0,-0,0,0,0,0,0,0
1428.437983575,-0.184841,-0.515037,-0.57824,,0.00672203,0.00287979,-0,0.005226,0.00299055,-0,-0,0.0410763,0,0.00335,2.16392,-0,-0,0.00316372,-0,-0,0,0,0,0,0,0
1428.439046799,-0.184841,-0.515037,-0.57824,,0.00672203,0.00287979,-0,-0,0.00299055,-0,-0,0.0410763,0,0.00335,2.16392,-0,-0,0.00316372,-0,-0,0,0,0,0,0,0
1428.440117822,-0.184841,-0.515037,-0.57824,,0.000773761,0.00287979,-0,-0,0.00299055,-0,-0,0.0410763,0,0,2.16392,-0,-0,0.00316372,-0,-0,0,0,0,0,0,0
1428.441180581,-0.184841,-0.515037,-0.57824,,0.000773761,0.00287979,-0,-0,0.00299055,-0,-0,0.0410763,0,0.0067,2.16392,-0,-0.003621,0.00316372,-0,-0.003479,0,0,0,0,0,0
1428.442244782,-0.184841,-0.515037,-0.57824,,-0.00389823,0.00287979,-0,-0,0.00299055,-0,-0.005226,0.0410763,0,0,2.16392,-0,-0,0.00316372,-0,-0,0,0,0,0,0,0
