t,xp,xb
146.075,0.0548147792110586,0.153401521877545
146.076,0.0548809581663874,0.161046608184705
146.077,0.0560627949754376,0.166003240334953
146.078,0.0578123182178424,0.170789837886363
146.079,0.0589768958765234,0.175047920525693
146.08,0.0600774821811628,0.179306003165023
146.081,0.0612337765147747,0.185253137349282
146.082,0.0622400672563699,0.192446389531084
146.083,0.0632405613682702,0.198015219911566
146.084,0.0642886604687146,0.203114792583423
146.085,0.0652208491423194,0.208323493319044
146.086,0.0661297950160741,0.213584072686443
146.087,0.0670378260636629,0.219251544268748
146.088,0.0683726512914716,0.225100120266996
146.089,0.0693022733440507,0.230629048107584
146.09,0.0700595045868052,0.236080973415349
146.091,0.0709139606401371,0.24135864190158
146.092,0.0715873046888301,0.246600943889293
146.093,0.0723612463312943,0.251966686649519
146.094,0.0731042581509401,0.257362428587107
146.095,0.0737516926751466,0.262845863858324
146.096,0.0745302132523541,0.268361653741658
146.097,0.0745901458787678,0.273728949460292
146.098,0.0745901458787678,0.279047108996002
146.099,0.0755658290135756,0.284306056597139
146.1,0.0766726428769406,0.289547209788418
146.101,0.0772893203787931,0.295101833764663
146.102,0.0779973222223641,0.300806479716298
146.103,0.0788658083355316,0.3058976308579
146.104,0.0798940808160039,0.310928723514494
146.105,0.0811625063834899,0.315853710137904
146.106,0.0826178494971992,0.320762435253057
146.107,0.0846801010960264,0.325911902778346
146.108,0.0856642955383596,0.331170926955229
146.109,0.0877842523063582,0.336400561539856
146.11,0.0893483406946324,0.341616137364473
146.111,0.090955915651895,0.346816195666198
146.112,0.0925394929528968,0.352007537904994
146.113,0.0926119067491421,0.357157160503806
146.114,0.0940829104937795,0.362277783276307
146.115,0.0955921070101574,0.368432005244314
146.116,0.0969945933341366,0.375182782211741
146.117,0.0983062447799626,0.378819092873368
146.118,0.100254284884513,0.382455403535098
146.119,0.101412148926405,0.387571815497253
146.12,0.102585959091211,0.393040919850486
146.121,0.103807333837447,0.398896870056488
146.122,0.104994870932357,0.404953900532793
146.123,0.106131773800358,0.408826895365472
