%time,field.header.seq,field.header.stamp,field.header.frame_id,field.wrench.force.x,field.wrench.force.y,field.wrench.force.z,field.wrench.torque.x,field.wrench.torque.y,field.wrench.torque.z
1554455016364920421,162378,1554455016364799130,base_link,-14.04296,0.199332,-11.185555,0.024571,0.869246,0.057604
1554455016366843466,162379,1554455016366795672,base_link,-14.129135,0.216071,-11.122055,0.024285,0.869271,0.056765
1554455016368881512,162380,1554455016368807763,base_link,-14.114277,0.192033,-11.220654,0.024774,0.869528,0.056112
1554455016370872932,162381,1554455016370818639,base_link,-14.178696,0.168867,-10.514406,0.024248,0.869724,0.050179
1554455016372886200,162382,1554455016372826629,base_link,-14.061846,0.250479,-10.645497,0.023959,0.869567,0.052893
1554455016374889174,162383,1554455016374835057,base_link,-14.072536,0.294941,-11.042904,0.026177,0.870462,0.05641
1554455016376895164,162384,1554455016376841679,base_link,-14.085838,0.241125,-11.180549,0.024499,0.868981,0.056115
1554455016378920886,162385,1554455016378852490,base_link,-14.114306,0.256198,-11.147319,0.025221,0.869971,0.057838
1554455016380924885,162386,1554455016380859666,base_link,-14.065453,0.319982,-11.730083,0.025695,0.869329,0.062953
1554455016382922799,162387,1554455016382864491,base_link,-14.081041,0.277774,-11.64363,0.026033,0.869779,0.061296
1554455016384933831,162388,1554455016384872066,base_link,-14.100556,0.251495,-11.226426,0.025197,0.868337,0.057583
1554455016386907974,162389,1554455016386843561,base_link,-14.142693,0.306182,-11.184066,0.025862,0.869996,0.056562
1554455016388937394,162390,1554455016388873065,base_link,-14.113601,0.271308,-11.162714,0.025328,0.870728,0.056362
1554455016390962547,162391,1554455016390906476,base_link,-14.148783,0.200125,-10.535507,0.023851,0.870305,0.050388
1554455016392955600,162392,1554455016392894905,base_link,-14.064052,0.186137,-10.665483,0.026402,0.869729,0.052502
1554455016394960712,162393,1554455016394901421,base_link,-14.12733,0.29471,-11.101713,0.024194,0.870838,0.056363
1554455016396962339,162394,1554455016396906751,base_link,-14.19966,0.224041,-11.140631,0.023952,0.869951,0.056333
1554455016398973451,162395,1554455016398916192,base_link,-14.086236,0.290563,-11.161413,0.025164,0.868825,0.056128
1554455016400986243,162396,1554455016400925046,base_link,-14.077572,0.326402,-11.809363,0.025408,0.870752,0.062517
1554455016402990087,162397,1554455016402931143,base_link,-14.038477,0.253141,-11.643226,0.025902,0.869468,0.061295
1554455016404960991,162398,1554455016404905162,base_link,-14.129001,0.198865,-11.104784,0.024166,0.86965,0.05762
1554455016406995961,162399,1554455016406911407,base_link,-14.101617,0.202564,-11.180804,0.024857,0.867918,0.056319
1554455016409009658,162400,1554455016408951542,base_link,-14.071697,0.248816,-11.186866,0.025531,0.869477,0.057616
1554455016410745641,162401,1554455016410670924,base_link,-14.091873,0.152795,-10.622302,0.024216,0.869514,0.052268
1554455016412768108,162402,1554455016412685046,base_link,-14.076327,0.160309,-10.699411,0.024283,0.870166,0.051196
1554455016414740457,162403,1554455016414683989,base_link,-14.072283,0.229659,-10.998003,0.023473,0.869456,0.055951
1554455016416780759,162404,1554455016416697975,base_link,-14.086055,0.291493,-11.22453,0.025812,0.86883,0.056753
1554455016419047910,162405,1554455016418990342,base_link,-14.084999,0.274529,-11.244413,0.02473,0.869004,0.056945
1554455016420747590,162406,1554455016420682723,base_link,-14.03854,0.189089,-11.661963,0.024491,0.86847,0.06147
1554455016422784361,162407,1554455016422715679,base_link,-14.166042,0.294841,-11.642205,0.025106,0.8698,0.061064
1554455016424785235,162408,1554455016424722284,base_link,-14.111764,0.289591,-11.290936,0.024488,0.870171,0.058632
1554455016426804646,162409,1554455016426731597,base_link,-14.07186,0.266943,-11.226375,0.025654,0.868721,0.057385
1554455016428794420,162410,1554455016428732647,base_link,-14.056979,0.273945,-11.20673,0.025075,0.869008,0.057599
1554455016430811221,162411,1554455016430741017,base_link,-14.120031,0.168815,-10.596383,0.023337,0.869513,0.050779
1554455016432808309,162412,1554455016432748298,base_link,-14.091455,0.266955,-10.649265,0.026296,0.870362,0.053355
1554455016434835174,162413,1554455016434767053,base_link,-14.158261,0.230002,-10.994068,0.024037,0.870039,0.05469
1554455016436793040,162414,1554455016436732317,base_link,-14.070882,0.248168,-11.163145,0.02392,0.869273,0.056963
1554455016438830636,162415,1554455016438772837,base_link,-14.10142,0.186167,-11.240369,0.025707,0.868476,0.055896
1554455016440860880,162416,1554455016440771990,base_link,-14.106781,0.293081,-11.747747,0.02515,0.870931,0.062321
1554455016442860009,162417,1554455016442805023,base_link,-14.138144,0.211953,-11.577029,0.023915,0.869546,0.060221
1554455016444868310,162418,1554455016444811437,base_link,-14.112973,0.22429,-11.225361,0.023713,0.869553,0.057576
1554455016446884520,162419,1554455016446826001,base_link,-14.142736,0.289815,-11.184552,0.025748,0.869987,0.056773
1554455016448859684,162420,1554455016448811241,base_link,-14.129281,0.201469,-11.182974,0.024502,0.868689,0.056954
1554455016450871754,162421,1554455016450818861,base_link,-14.089742,0.263252,-10.61963,0.02499,0.871856,0.050824
1554455016452885393,162422,1554455016452829461,base_link,-14.061866,0.248951,-10.683302,0.025879,0.871086,0.051657
1554455016454895659,162423,1554455016454835458,base_link,-14.143444,0.174195,-11.118115,0.024303,0.869907,0.055715
1554455016456863920,162424,1554455016456807665,base_link,-14.071936,0.266017,-11.183698,0.025328,0.868908,0.056761
1554455016458904331,162425,1554455016458834039,base_link,-14.058121,0.258176,-11.187818,0.025929,0.868817,0.057827
1554455016460921288,162426,1554455016460857879,base_link,-14.150686,0.254215,-11.724809,0.024515,0.869865,0.061879
1554455016462931762,162427,1554455016462856209,base_link,-14.080165,0.260764,-11.640834,0.02463,0.869757,0.060853
1554455016464929246,162428,1554455016464866464,base_link,-14.141783,0.274616,-11.264869,0.024998,0.869587,0.056945
1554455016466934310,162429,1554455016466877596,base_link,-14.073364,0.249315,-11.08123,0.025212,0.868522,0.056363
1554455016468947510,162430,1554455016468886679,base_link,-14.10014,0.214242,-11.161571,0.025588,0.870596,0.056155
1554455016470953726,162431,1554455016470889807,base_link,-14.119639,0.24804,-10.495324,0.023249,0.870327,0.050393
1554455016472949680,162432,1554455016472894835,base_link,-14.102981,0.2572,-10.723065,0.024289,0.871185,0.051831
1554455016474958460,162433,1554455016474904759,base_link,-14.086224,0.306083,-11.102292,0.02463,0.86884,0.056561
1554455016476954066,162434,1554455016476901652,base_link,-14.126574,0.262534,-11.222118,0.024934,0.871383,0.056133
1554455016478974173,162435,1554455016478913820,base_link,-14.157847,0.235121,-11.181568,0.024387,0.86833,0.056522
1554455016481000318,162436,1554455016480919890,base_link,-14.092753,0.28489,-11.708227,0.024463,0.87045,0.062742
1554455016482994248,162437,1554455016482931260,base_link,-14.080678,0.242892,-11.579166,0.02483,0.87032,0.060459
1554455016484996916,162438,1554455016484938936,base_link,-14.113001,0.242383,-11.303508,0.024479,0.869173,0.056712
1554455016487007468,162439,1554455016486942877,base_link,-14.100635,0.265972,-11.158786,0.024979,0.868903,0.055491
1554455016489012527,162440,1554455016488955179,base_link,-14.101863,0.21747,-11.140845,0.025605,0.868695,0.056139
1554455016491018599,162441,1554455016490961363,base_link,-14.121002,0.216743,-10.494654,0.023994,0.86974,0.050186
1554455016492738916,162442,1554455016492678564,base_link,-14.018455,0.208231,-10.70234,0.02435,0.870377,0.051838
1554455016494756008,162443,1554455016494687434,base_link,-14.058593,0.269946,-10.935309,0.023768,0.869381,0.055128
1554455016496754653,162444,1554455016496693891,base_link,-14.056918,0.337112,-11.147557,0.02616,0.870198,0.057434
1554455016498771209,162445,1554455016498700961,base_link,-14.030533,0.258345,-11.142971,0.025957,0.868233,0.056566
1554455016500770342,162446,1554455016500709762,base_link,-14.080984,0.179228,-11.623344,0.024384,0.869528,0.061912
1554455016502789232,162447,1554455016502718307,base_link,-14.107377,0.25929,-11.658442,0.023953,0.870703,0.060212
1554455016504807647,162448,1554455016504720290,base_link,-14.142999,0.179276,-11.323815,0.024974,0.868383,0.056914
1554455016506792437,162449,1554455016506734399,base_link,-14.084939,0.257282,-11.224902,0.024611,0.869377,0.057166
1554455016508767902,162450,1554455016508708566,base_link,-14.15761,0.233322,-11.159773,0.024698,0.869279,0.05591
1554455016510782388,162451,1554455016510713369,base_link,-14.117331,0.270841,-10.891528,0.025005,0.869394,0.053884
1554455016512811826,162452,1554455016512754465,base_link,-14.089947,0.249611,-10.684587,0.024891,0.870712,0.052271
1554455016514825408,162453,1554455016514765003,base_link,-14.128963,0.228866,-10.998462,0.023736,0.870422,0.055961
1554455016516828360,162454,1554455016516760956,base_link,-14.073871,0.298222,-11.085737,0.027159,0.869139,0.057031
1554455016518831867,162455,1554455016518767603,base_link,-14.114798,0.274197,-11.159667,0.025023,0.869008,0.055703
1554455016520840991,162456,1554455016520782371,base_link,-14.107383,0.293378,-11.727828,0.025473,0.870745,0.062329
1554455016522842230,162457,1554455016522788888,base_link,-14.110135,0.19585,-11.598467,0.024794,0.869535,0.060441
1554455016524850703,162458,1554455016524797005,base_link,-14.085225,0.241303,-11.250829,0.025464,0.869575,0.058654
1554455016526827610,162459,1554455016526770485,base_link,-14.099164,0.281869,-11.204858,0.024447,0.869301,0.057167
1554455016528877102,162460,1554455016528802911,base_link,-14.116234,0.174785,-11.060071,0.024655,0.869153,0.056366
1554455016530890656,162461,1554455016530818784,base_link,-14.149156,0.218245,-10.534136,0.023332,0.869168,0.050155
1554455016532885374,162462,1554455016532825294,base_link,-14.147931,0.302605,-10.702336,0.024879,0.869034,0.051604
1554455016534889266,162463,1554455016534829715,base_link,-14.115661,0.254939,-11.022128,0.025214,0.86997,0.056606
1554455016536901805,162464,1554455016536838004,base_link,-14.086616,0.174187,-11.081701,0.023714,0.869144,0.056984
1554455016538909746,162465,1554455016538844718,base_link,-14.029869,0.241685,-11.183815,0.025842,0.868601,0.056769
1554455016540924894,162466,1554455016540852568,base_link,-14.162933,0.327449,-11.831624,0.025332,0.870965,0.063139
1554455016542916070,162467,1554455016542854107,base_link,-14.066825,0.237308,-11.638276,0.024801,0.869069,0.060215
1554455016544923474,162468,1554455016544862217,base_link,-14.042198,0.283597,-11.287955,0.025154,0.86853,0.057782
1554455016546904736,162469,1554455016546846344,base_link,-14.057944,0.271498,-11.020142,0.023776,0.869005,0.056367
1554455016548925203,162470,1554455016548861368,base_link,-14.142222,0.255901,-11.165006,0.024871,0.870348,0.057194
1554455016550940849,162471,1554455016550887880,base_link,-14.163081,0.225556,-10.553659,0.024014,0.870031,0.049744
1554455016552952952,162472,1554455016552893898,base_link,-14.018968,0.225858,-10.706412,0.024792,0.869828,0.052894
1554455016554958510,162473,1554455016554901259,base_link,-14.043811,0.229938,-11.100714,0.025752,0.870216,0.055964
1554455016556989304,162474,1554455016556902789,base_link,-14.128305,0.263467,-11.164602,0.025903,0.870828,0.056793
