%time,field.header.seq,field.header.stamp,field.header.frame_id,field.quaternion.x,field.quaternion.y,field.quaternion.z,field.quaternion.w
1555680892128774913,43590,1555680892128653049,sensor,0.147451123987,-0.111913595668,0.921441687106,-0.341582684577
1555680892130860069,43591,1555680892130644083,sensor,0.147451123987,-0.111913595668,0.921441687106,-0.341582684577
1555680892133148500,43592,1555680892132771015,sensor,0.147451123987,-0.111913595668,0.921441687106,-0.341582684577
1555680892134736505,43593,1555680892134646892,sensor,0.147451123987,-0.111913595668,0.921441687106,-0.341582684577
1555680892137190155,43594,1555680892136868953,sensor,0.147451123987,-0.111913595668,0.921441687106,-0.341582684577
1555680892139050483,43595,1555680892138816118,sensor,0.147451123987,-0.111913595668,0.921441687106,-0.341582684577
1555680892141342885,43596,1555680892140964984,sensor,0.147451123987,-0.111913595668,0.921441687106,-0.341582684577
1555680892142833391,43597,1555680892142663002,sensor,0.147451123987,-0.111913595668,0.921441687106,-0.341582684577
1555680892145257240,43598,1555680892144705057,sensor,0.147451123987,-0.111913595668,0.921441687106,-0.341582684577
1555680892146835267,43599,1555680892146688938,sensor,0.147451123987,-0.111913595668,0.921441687106,-0.341582684577
1555680892148823024,43600,1555680892148621082,sensor,0.147451123987,-0.111913595668,0.921441687106,-0.341582684577
1555680892150745916,43601,1555680892150592088,sensor,0.147451123987,-0.111913595668,0.921441687106,-0.341582684577
1555680892152803387,43602,1555680892152650117,sensor,0.147451123987,-0.111913595668,0.921441687106,-0.341582684577
1555680892155255003,43603,1555680892154931068,sensor,0.147451123987,-0.111913595668,0.921441687106,-0.341582684577
1555680892157053620,43604,1555680892156860113,sensor,0.147451123987,-0.111913595668,0.921441687106,-0.341582684577
1555680892158839470,43605,1555680892158648014,sensor,0.147451123987,-0.111913595668,0.921441687106,-0.341582684577
1555680892161378414,43606,1555680892161242008,sensor,0.147451123987,-0.111913595668,0.921441687106,-0.341582684577
1555680892162875414,43607,1555680892162749052,sensor,0.147451123987,-0.111913595668,0.921441687106,-0.341582684577
1555680892164771852,43608,1555680892164673089,sensor,0.147451123987,-0.111913595668,0.921441687106,-0.341582684577
1555680892166678925,43609,1555680892166538000,sensor,0.147451123987,-0.111913595668,0.921441687106,-0.341582684577
1555680892168875377,43610,1555680892168668031,sensor,0.147451123987,-0.111913595668,0.921441687106,-0.341582684577
1555680892170612929,43611,1555680892170521020,sensor,0.147451123987,-0.111913595668,0.921441687106,-0.341582684577
1555680892172685359,43612,1555680892172597885,sensor,0.147451123987,-0.111913595668,0.921441687106,-0.341582684577
1555680892174712296,43613,1555680892174628019,sensor,0.147451123987,-0.111913595668,0.921441687106,-0.341582684577
1555680892176684028,43614,1555680892176554918,sensor,0.147451123987,-0.111913595668,0.921441687106,-0.341582684577
1555680892178718334,43615,1555680892178606986,sensor,0.147451123987,-0.111913595668,0.921441687106,-0.341582684577
1555680892180693107,43616,1555680892180505990,sensor,0.147451123987,-0.111913595668,0.921441687106,-0.341582684577
1555680892182674271,43617,1555680892182578086,sensor,0.147451123987,-0.111913595668,0.921441687106,-0.341582684577
1555680892184765075,43618,1555680892184618949,sensor,0.147451123987,-0.111913595668,0.921441687106,-0.341582684577
1555680892186698758,43619,1555680892186587095,sensor,0.147451123987,-0.111913595668,0.921441687106,-0.341582684577
1555680892188671058,43620,1555680892188510894,sensor,0.147451123987,-0.111913595668,0.921441687106,-0.341582684577
1555680892190709600,43621,1555680892190584897,sensor,0.147451123987,-0.111913595668,0.921441687106,-0.341582684577
1555680892193187638,43622,1555680892192807912,sensor,0.147451123987,-0.111913595668,0.921441687106,-0.341582684577
1555680892195043878,43623,1555680892194910049,sensor,0.147451123987,-0.111913595668,0.921441687106,-0.341582684577
1555680892196804502,43624,1555680892196674108,sensor,0.147451123987,-0.111913595668,0.921441687106,-0.341582684577
1555680892198822566,43625,1555680892198678016,sensor,0.147451123987,-0.111913595668,0.921441687106,-0.341582684577
1555680892200839468,43626,1555680892200712919,sensor,0.147451123987,-0.111913595668,0.921441687106,-0.341582684577
1555680892203190763,43627,1555680892203022003,sensor,0.147451123987,-0.111913595668,0.921441687106,-0.341582684577
1555680892204954321,43628,1555680892204745054,sensor,0.147451123987,-0.111913595668,0.921441687106,-0.341582684577
1555680892207267027,43629,1555680892207144021,sensor,0.147451123987,-0.111913595668,0.921441687106,-0.341582684577
1555680892208752227,43630,1555680892208628892,sensor,0.147451123987,-0.111913595668,0.921441687106,-0.341582684577
1555680892211181209,43631,1555680892210979938,sensor,0.147451123987,-0.111913595668,0.921441687106,-0.341582684577
1555680892212739228,43632,1555680892212606906,sensor,0.147451123987,-0.111913595668,0.921441687106,-0.341582684577
1555680892214701177,43633,1555680892214528083,sensor,0.147451123987,-0.111913595668,0.921441687106,-0.341582684577
1555680892216799287,43634,1555680892216602087,sensor,0.147451123987,-0.111913595668,0.921441687106,-0.341582684577
1555680892219397954,43635,1555680892219242095,sensor,0.147451123987,-0.111913595668,0.921441687106,-0.341582684577
1555680892220856721,43636,1555680892220666885,sensor,0.147451123987,-0.111913595668,0.921441687106,-0.341582684577
1555680892223124679,43637,1555680892222836017,sensor,0.147451123987,-0.111913595668,0.921441687106,-0.341582684577
1555680892225731262,43638,1555680892225430011,sensor,0.147451123987,-0.111913595668,0.921441687106,-0.341582684577
1555680892227513898,43639,1555680892227314949,sensor,0.147451123987,-0.111913595668,0.921441687106,-0.341582684577
1555680892228721946,43640,1555680892228615999,sensor,0.147451123987,-0.111913595668,0.921441687106,-0.341582684577
1555680892230722575,43641,1555680892230552911,sensor,0.147451123987,-0.111913595668,0.921441687106,-0.341582684577
1555680892232774072,43642,1555680892232660055,sensor,0.147451123987,-0.111913595668,0.921441687106,-0.341582684577
1555680892234759398,43643,1555680892234623908,sensor,0.147451123987,-0.111913595668,0.921441687106,-0.341582684577
1555680892236768892,43644,1555680892236620903,sensor,0.147451123987,-0.111913595668,0.921441687106,-0.341582684577
1555680892238669450,43645,1555680892238559007,sensor,0.147451123987,-0.111913595668,0.921441687106,-0.341582684577
1555680892240664810,43646,1555680892240567922,sensor,0.147451123987,-0.111913595668,0.921441687106,-0.341582684577
1555680892242702062,43647,1555680892242588043,sensor,0.147451123987,-0.111913595668,0.921441687106,-0.341582684577
1555680892244748928,43648,1555680892244601011,sensor,0.147451123987,-0.111913595668,0.921441687106,-0.341582684577
1555680892246661632,43649,1555680892246507883,sensor,0.147451123987,-0.111913595668,0.921441687106,-0.341582684577
1555680892248838714,43650,1555680892248620986,sensor,0.147451123987,-0.111913595668,0.921441687106,-0.341582684577
1555680892250659367,43651,1555680892250559091,sensor,0.147451123987,-0.111913595668,0.921441687106,-0.341582684577
1555680892252698040,43652,1555680892252602100,sensor,0.147451123987,-0.111913595668,0.921441687106,-0.341582684577
1555680892254697161,43653,1555680892254611968,sensor,0.147451123987,-0.111913595668,0.921441687106,-0.341582684577
1555680892256840445,43654,1555680892256730079,sensor,0.147451123987,-0.111913595668,0.921441687106,-0.341582684577
1555680892258768730,43655,1555680892258588075,sensor,0.147451123987,-0.111913595668,0.921441687106,-0.341582684577
1555680892261359595,43656,1555680892261101007,sensor,0.147451123987,-0.111913595668,0.921441687106,-0.341582684577
1555680892263548224,43657,1555680892263370037,sensor,0.147451123987,-0.111913595668,0.921441687106,-0.341582684577
1555680892264772334,43658,1555680892264655113,sensor,0.147451123987,-0.111913595668,0.921441687106,-0.341582684577
1555680892267029625,43659,1555680892266817092,sensor,0.147451123987,-0.111913595668,0.921441687106,-0.341582684577
1555680892269241417,43660,1555680892269144058,sensor,0.147451123987,-0.111913595668,0.921441687106,-0.341582684577
1555680892270839082,43661,1555680892270610094,sensor,0.147451123987,-0.111913595668,0.921441687106,-0.341582684577
1555680892272953566,43662,1555680892272814989,sensor,0.147451123987,-0.111913595668,0.921441687106,-0.341582684577
1555680892274912890,43663,1555680892274646997,sensor,0.147451123987,-0.111913595668,0.921441687106,-0.341582684577
1555680892277065756,43664,1555680892276690959,sensor,0.147451123987,-0.111913595668,0.921441687106,-0.341582684577
1555680892278989624,43665,1555680892278799057,sensor,0.147451123987,-0.111913595668,0.921441687106,-0.341582684577
1555680892280774438,43666,1555680892280680894,sensor,0.147451123987,-0.111913595668,0.921441687106,-0.341582684577
1555680892282803708,43667,1555680892282579898,sensor,0.147451123987,-0.111913595668,0.921441687106,-0.341582684577
