%time,field.header.seq,field.header.stamp,field.header.frame_id,field.wrench.force.x,field.wrench.force.y,field.wrench.force.z,field.wrench.torque.x,field.wrench.torque.y,field.wrench.torque.z
1555680892203890426,276924,1555680892203720436,base_link,-17.902135,1.484125,-11.762567,0.047374,0.825114,0.034856
1555680892205902553,276925,1555680892205742605,base_link,-17.990713,1.48425,-11.565479,0.047295,0.824539,0.030456
1555680892207546510,276926,1555680892207449385,base_link,-17.994934,1.383164,-11.253697,0.04724,0.824485,0.028012
1555680892209863788,276927,1555680892209752759,base_link,-18.025038,1.479112,-11.093368,0.049168,0.825521,0.027461
1555680892211861659,276928,1555680892211765533,base_link,-17.995437,1.512128,-11.134024,0.04846,0.825147,0.027648
1555680892213844019,276929,1555680892213767845,base_link,-17.945711,1.439395,-10.42868,0.047055,0.824527,0.022339
1555680892215561061,276930,1555680892215486132,base_link,-17.943211,1.458191,-10.653656,0.046861,0.824335,0.023323
1555680892217689524,276931,1555680892217521704,base_link,-18.039719,1.516471,-10.827093,0.046527,0.825451,0.026655
1555680892219613922,276932,1555680892219507848,base_link,-17.938375,1.44531,-11.090513,0.047087,0.824896,0.027221
1555680892221647531,276933,1555680892221526776,base_link,-18.011743,1.410663,-11.212172,0.048699,0.823083,0.027392
1555680892223612834,276934,1555680892223525824,base_link,-17.976119,1.39486,-11.611423,0.046364,0.824207,0.032544
1555680892225658844,276935,1555680892225539796,base_link,-17.977437,1.461228,-11.611043,0.048753,0.824253,0.031731
1555680892227636655,276936,1555680892227549305,base_link,-17.982853,1.49399,-11.212809,0.048017,0.82179,0.027579
1555680892229625129,276937,1555680892229547403,base_link,-17.940648,1.481964,-11.115217,0.049265,0.823413,0.028073
1555680892231634198,276938,1555680892231561770,base_link,-17.995333,1.511248,-11.114027,0.048455,0.825529,0.027658
1555680892233634995,276939,1555680892233568971,base_link,-17.972726,1.457023,-10.571592,0.047471,0.824918,0.022726
1555680892235643153,276940,1555680892235581519,base_link,-17.973092,1.490137,-10.555183,0.048021,0.824759,0.023583
1555680892237656531,276941,1555680892237587676,base_link,-17.955856,1.486289,-10.930916,0.049287,0.824664,0.027085
1555680892239657125,276942,1555680892239564329,base_link,-17.995593,1.463593,-11.073199,0.046193,0.823973,0.028256
1555680892241636884,276943,1555680892241570828,base_link,-17.895066,1.485884,-11.089885,0.046768,0.824621,0.027005
1555680892243690797,276944,1555680892243612865,base_link,-17.904465,1.466669,-11.590783,0.047255,0.824711,0.031939
1555680892245698702,276945,1555680892245622651,base_link,-17.976651,1.426004,-11.543818,0.046905,0.824785,0.030251
1555680892247722846,276946,1555680892247639260,base_link,-17.951678,1.420479,-11.191802,0.047866,0.825928,0.027213
1555680892249706717,276947,1555680892249639648,base_link,-18.023843,1.394925,-11.095641,0.047943,0.826616,0.028516
1555680892251713314,276948,1555680892251648849,base_link,-18.009935,1.438399,-11.151053,0.048256,0.825384,0.027008
1555680892253720072,276949,1555680892253658438,base_link,-18.000734,1.438512,-10.524851,0.046676,0.82585,0.021045
1555680892255734372,276950,1555680892255673139,base_link,-17.943052,1.519066,-10.578132,0.049219,0.827062,0.023834
1555680892257716426,276951,1555680892257644648,base_link,-17.982825,1.519926,-10.988824,0.047886,0.824291,0.026616
1555680892259835288,276952,1555680892259682201,base_link,-17.981567,1.472931,-11.174108,0.048199,0.82426,0.027835
1555680892261830704,276953,1555680892261704097,base_link,-17.98185,1.456595,-11.115515,0.047121,0.823686,0.028677
1555680892263844583,276954,1555680892263712296,base_link,-17.960375,1.485604,-11.758702,0.048293,0.824931,0.033593
1555680892265802940,276955,1555680892265717704,base_link,-17.920477,1.459418,-11.532394,0.048154,0.824248,0.032386
1555680892267886144,276956,1555680892267726297,base_link,-17.953902,1.457738,-11.156465,0.048118,0.823301,0.028677
1555680892269806806,276957,1555680892269731522,base_link,-17.969146,1.447992,-11.00944,0.047075,0.823198,0.027223
1555680892271930829,276958,1555680892271760898,base_link,-17.912074,1.47835,-10.992102,0.048629,0.824358,0.027481
1555680892273836013,276959,1555680892273753275,base_link,-18.030314,1.424195,-10.5023,0.046225,0.8247,0.020606
1555680892275890807,276960,1555680892275764019,base_link,-17.90135,1.463362,-10.532456,0.047585,0.825198,0.022961
1555680892277835692,276961,1555680892277732165,base_link,-17.968815,1.49392,-10.971635,0.048685,0.825142,0.02728
1555680892279581081,276962,1555680892279504894,base_link,-17.967868,1.44744,-11.051518,0.046429,0.823576,0.02784
1555680892281585701,276963,1555680892281508703,base_link,-17.953886,1.519942,-11.072814,0.049198,0.824863,0.027254
1555680892283641668,276964,1555680892283522685,base_link,-17.949737,1.446524,-11.567516,0.04739,0.822516,0.031284
1555680892285614480,276965,1555680892285523047,base_link,-17.962339,1.417862,-11.547418,0.046862,0.824691,0.031307
1555680892287650428,276966,1555680892287535199,base_link,-18.009992,1.441128,-11.235964,0.048592,0.824439,0.028245
1555680892289722533,276967,1555680892289544905,base_link,-18.052558,1.463992,-11.155494,0.04807,0.825132,0.028266
1555680892291620815,276968,1555680892291530204,base_link,-18.010248,1.519686,-11.090509,0.048822,0.825437,0.02661
