time,force,virtual
147.52049024,3.95758944056784,NaN
147.52149024,3.97652777004182,NaN
147.52249024,3.99842986079137,NaN
147.52349024,4.0242063849319,NaN
147.52449024,4.05484862961174,NaN
147.52549024,4.09168763557458,NaN
147.52649024,4.13633383722316,NaN
147.52749024,4.19035974246888,NaN
147.52849024,4.25489063981408,NaN
147.52949024,4.33025877561848,NaN
147.53049024,4.41589399960255,NaN
147.53149024,4.51046907457955,NaN
147.53249024,4.61212550685593,NaN
147.53349024,4.71867837667738,NaN
147.53449024,4.82788134785074,NaN
147.53549024,4.9376774252012,NaN
147.53649024,5.04621287812239,NaN
147.53749024,5.15173063290988,NaN
147.53849024,5.25266947454049,NaN
147.53949024,5.34797392796415,NaN
147.54049024,5.43730466008638,NaN
147.54149024,5.5209601943654,NaN
147.54249024,5.59963215235198,NaN
147.54349024,5.67414242965225,NaN
147.54449024,5.74522263149535,NaN
147.54549024,5.81348494288958,NaN
147.54649024,5.87965261317501,NaN
147.54749024,5.94476103105688,NaN
147.54849024,6.00999265126665,NaN
147.54949024,6.07628403499716,NaN
147.55049024,6.14410657230242,NaN
147.55149024,6.2135544753385,NaN
147.55249024,6.28459195989781,NaN
147.55349024,6.3572182119563,NaN
147.55449024,6.43143470825379,NaN
147.55549024,6.50711433265503,NaN
147.55649024,6.5838688249179,NaN
147.55749024,6.66101590228342,NaN
147.55849024,6.73773942134021,NaN
147.55949024,6.81334493360453,NaN
147.56049024,6.88747991865024,NaN
147.56149024,6.96016929847134,NaN
147.56249024,7.03157923684294,NaN
147.56349024,7.10178994514131,NaN
147.56449024,7.17082500777802,NaN
147.56549024,7.23877370707238,NaN
147.56649024,7.30579579824311,NaN
147.56749024,7.37202672036601,NaN
147.56849024,7.43750495286256,NaN
147.56949024,7.50219527839028,NaN
147.57049024,7.56604256187182,NaN
147.57149024,7.62891906848961,NaN
147.57249024,7.69058294466173,NaN
147.57349024,7.75083306688299,NaN
147.57449024,7.80964912109848,NaN
147.57549024,7.86708396440992,NaN
147.57649024,7.92303078121653,NaN
147.57749024,7.97711413168093,NaN
147.57849024,8.02886537035958,NaN
147.57949024,8.07805660421946,NaN
147.58049024,8.12483925583748,NaN
147.58149024,8.16956110005041,NaN
147.58249024,8.21244950799832,NaN
147.58349024,8.25338384545427,NaN
147.58449024,8.29195166965484,NaN
147.58549024,8.32778406547227,NaN
147.58649024,8.36084359148096,NaN
147.58749024,8.39140442439997,NaN
147.58849024,8.41983075076253,NaN
147.58949024,8.44641254856007,NaN
147.59049024,8.47130119484106,NaN
147.59149024,8.49444235966336,NaN
147.59249024,8.5155678552888,NaN
147.59349024,8.53429824141051,NaN
147.59449024,8.55022483406987,NaN
147.59549024,8.56294038023666,NaN
147.59649024,8.57210456554412,NaN
147.59749024,8.57753299613552,NaN
147.59849024,8.57925493771052,NaN
147.59949024,8.57750037932065,NaN
147.60049024,8.57261922985071,NaN
147.60149024,8.56498199792024,NaN
147.60249024,8.55487896713812,NaN
147.60349024,8.54242455024201,NaN
147.60449024,8.52755065618154,NaN
147.60549024,8.51016595806929,NaN
147.60649024,8.49031973819245,NaN
147.60749024,8.46814592966599,NaN
147.60849024,8.44367206107131,NaN
147.60949024,8.4167070605172,NaN
147.61049024,8.38683434560556,NaN
147.61149024,8.35344411545325,NaN
147.61249024,8.31584936068245,NaN
147.61349024,8.27355414028499,NaN
147.61449024,8.22652782900822,NaN
147.61549024,8.17521912996279,NaN
147.61649024,8.12032273599005,NaN
147.61749024,8.06260534717626,NaN
147.61849024,8.00289260082631,NaN
147.61949024,7.94202892467444,NaN
147.62049024,7.88073888212378,NaN
147.62149024,7.8194758757677,NaN
147.62249024,7.75834115426974,NaN
147.62349024,7.69715343292433,NaN
147.62449024,7.63568394301981,NaN
147.62549024,7.57391027862723,NaN
147.62649024,7.51207337779792,NaN
147.62749024,7.45045194948531,NaN
147.62849024,7.38904012099141,NaN
147.62949024,7.32741333135069,NaN
147.63049024,7.264821945656,NaN
147.63149024,7.20041615513043,NaN
147.63249024,7.13349253968657,NaN
147.63349024,7.06358380017091,NaN
147.63449024,6.99038426970982,NaN
147.63549024,6.91368896407448,NaN
147.63649024,6.8334621040045,NaN
147.63749024,6.75000143397839,NaN
147.63849024,6.66397496988756,NaN
147.63949024,6.57613366611023,NaN
147.64049024,6.48696099055469,NaN
147.64149024,6.3967076186989,NaN
147.64249024,6.30565396354196,NaN
147.64349024,6.21411401227074,NaN
147.64449024,6.12223366720907,NaN
147.64549024,6.02995515417314,NaN
147.64649024,5.93717435044301,NaN
147.64749024,5.84383755500046,NaN
147.64849024,5.74991736858628,NaN
147.64949024,5.65544754216367,NaN
147.65049024,5.56060427817338,NaN
147.65149024,5.46562880668723,NaN
147.65249024,5.37065272015665,NaN
147.65349024,5.27565356998696,NaN
147.65449024,5.18053288820759,NaN
147.65549024,5.08518422118191,NaN
